"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","ARC1510","Eco Design","Students explore the design criteria for small sustainable buildings. Through case study research into principles of site orientation, space... + Read More"
"2","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","ARC1511","Sustainable Methods and Materials I","Students assess alternative construction methods, materials and emerging technologies that enable the use of environmentally responsible con... + Read More"
"3","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","ARC1512","Site Assessment and Analysis","Making the most of sustainable building opportunities requires a thorough assessment and analysis of the site under consideration. Be it a n... + Read More"
"4","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","ARC1522","Project Documentation and Presentation Skills","Students develop skills in communicating technical information for architectural projects graphically, verbally and in written form. Student... + Read More"
"5","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","BSC8456","Renewable Energy Design","Renewable energy systems are a key component of sustainable building design. Students learn the basics of electricity, power and energy, and... + Read More"
"6","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","CAD8480","Computer Modeling for Buildings","Computer 3D modeling is rapidly becoming an important tool in sustainable building design. Students are introduced to Autodesk Revit Archite... + Read More"
"7","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","MGT1510","Introduction to Sustainable Project Management","As sustainable architectural projects involve a wider array of disciplines, systems, materials and equipment, the ability to manage and coor... + Read More"
"8","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","ARC1520G","Final Project","Students develop a final project by establishing objectives, developing design strategies and resolving technological aspects of their desig... + Read More"
"9","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","ARC1521","Sustainable Project Management and Costing","The concepts of advanced project management along with project costing are examined. Economic issues related to sustainability on a global s... + Read More"
"10","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","ARC1523","Standards and Accreditation","Through lectures, discussions and activities, students gain an understanding of various standards, rating systems, and professional accredit... + Read More"
"11","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","ARC1524","Sustainable Methods and Materials II","Building on knowledge acquired in ARC1511, students expand their understanding of material, carbon and water management choices through lect... + Read More"
"12","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","BSC1520","Healthy Buildings","Students conduct research into technologies and strategies for residential and commercial building projects, which have a direct impact on i... + Read More"
"13","Algonquin College","Green Architecture","https://www.algonquincollege.com/acce/program/green-architecture/","CAD8481","Building Modeling and Analysis","Further developing skills and knowledge gained from CAD8480, students learn intermediate and advanced features of Autodesk Revit Architectur... + Read More"
