"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","ENL2025","Interpersonal Communication","Effectively communicating with others, both professionally and personally, is an art that requires conscious development. Students address t... + Read More"
"2","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","HRM6118","Organizational Behaviour","Organizational behaviour through the various methods, theories, principles and accepted research in the field is introduced. Students learn ... + Read More"
"3","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","MGT6117","Revenue Management in Hospitality and Tourism","Implementing a revenue management strategy can be one of the most significant revenue-generating initiatives available to the hospitality in... + Read More"
"4","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","MGT6120","Entrepreneurship","Entrepreneurship and small business management are introduced from a Canadian perspective. Students develop the skills required to identify ... + Read More"
"5","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","TOU6121","Special Topics in Tourism","Current and emerging issues and trends that influence the Canadian and international tourism markets are explored using cases and examples f... + Read More"
"6","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","FLS3101","French as a Second Language-Level 1","International languages are a definite asset when providing services in the field of Hospitality and Tourism. Students with no prior knowled... + Read More"
"7","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","LAN3101","Spanish - Level 1","International languages are a definite asset when providing services in the field of Hospitality and Tourism. Students with no prior knowled... + Read More"
"8","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","ACC6124","Financial Analysis","Students learn the language, concepts and techniques for analyzing and solving financial problems faced by businesses. Topics include unders... + Read More"
"9","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","HRM6122","Strategic Human Resources Management","Students broaden their understanding of key factors affecting employee behaviour. By examining labour statutes relating to employment and wo... + Read More"
"10","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","MKT6119","Marketing Management","Students apply foundational and operational marketing knowledge towards developing pro-active leadership techniques in strategic and destina... + Read More"
"11","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","TOU6125","Sustainable Tourism","Sustainable tourism recognizes the important balance between the natural, cultural, social and economic realities of responsible tourism man... + Read More"
"12","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","CUL4000","Global Citizenship","Informed citizens in today's world appreciate the meaning of civic life at the local, national and global level. Students reflect on and dev... + Read More"
"13","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","ENL4016","World Literature","Exposure to broad sources of literature promotes an open-minded perspective on today's global society and encourages an appreciation of dive... + Read More"
"14","Algonquin College","H*Bachelor of Hospitality and Tourism Management (Entry Level 05) (Honours) (Co-op)","https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-5-term-bridging-program-co-op/","ENL4100","Creative Writing","Whether for personal or public consumption, many people enjoy writing short fiction to express their creative energy while improving upon th... + Read More"
