"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","DAT2004","Computer Applications","Knowledge of common computer applications is crucial in any modern workplace. Students examine the essentials of the computer operating syst... + Read More"
"2","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","ELE8131","Electrical Fundamentals","Students are provided with both theoretical and practical concepts of basic electricity and electrical circuits that are related to heating,... + Read More"
"3","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"4","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","GED2012","Achieving Success in the 21st Century","Rapid changes in technology have created new employment and business opportunities that challenge each of us to find our place as citizens i... + Read More"
"5","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","HRA8141","Heating System Fundamentals","A theoretical and practical introduction to the fundamental principles of natural gas, propane and fuel oil heating systems is provided. Stu... + Read More"
"6","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","SCI8510","Math and HRAC Science","The heating, refrigeration and air conditioning industry has a long and rich history based on many scientific principles, from thermodynamic... + Read More"
"7","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","ELE8132","Control Fundamentals","An overview of building electrical service and basic circuits is provided. Students learn principles and applications of electromechanical a... + Read More"
"8","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","HRA8140","Climate Control and the Environment","The heating and cooling systems that we use to stay comfortable affect our environment. Students examine the alternatives to fossil fuels an... + Read More"
"9","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","HRA8142","Gas Heating Systems","Students are introduced to gas and propane fired water heaters, forced warm air heating systems, and other gas appliances in both classroom ... + Read More"
"10","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","HRA8143","Oil Heating Systems","Theoretical and hands-on activities in relation to familiarization, installation, wiring, start-up, and troubleshooting of oil fired furnace... + Read More"
"11","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","SCI8511","Advanced HRAC Science","The heating, refrigeration and air conditioning industry has a long and rich history based on many scientific principles from thermodynamics... + Read More"
"12","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","GED0590","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"13","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","ELE8133","Advanced Controls","This course is a continuation of the interpretation and use of various wiring diagrams along with developing an understanding of control ter... + Read More"
"14","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","ENL2003","Communications II for Technicians","Communicating effectively in the workplace is a key component of career advancement and essential skills development. The ability to read, u... + Read More"
"15","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","HRA8130","Refrigeration Concepts","Students are introduced to heat transfer and thermodynamics related to air conditioning and refrigeration. The basic refrigeration cycle and... + Read More"
"16","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","HRA8139","Forced Air Systems","Students acquire the theoretical and practical background required to install, maintain and service air handling systems including high effi... + Read More"
"17","Algonquin College","Heating, Refrigeration and Air Conditioning Technician","https://www.algonquincollege.com/acce/program/heating-refrigeration-and-air-conditioning-technician/","HRA8144","Hydronics and Space Heating","Students acquire the theoretical and practical background for the service, installation, and maintenance of water heaters, combination syste... + Read More"
