"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","ARC9005","Canadian Architectural Conservation","Preserving our heritage resources is a sign of community pride and environmental responsibility. Protecting heritage buildings requires unde... + Read More"
"2","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","CON9111","Carpentry I: Foundations, Floors, Walls and Basic Roofs","General carpentry and homebuilding skills are introduced through both practical and theoretical methods. Students focus on the skills and kn... + Read More"
"3","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","DRA9110","Drafting I: Hand Drafting Fundamentals for Carpentry and Joinery","Drafted prints, plans and shop drawings are essential elements for communication in the building industry. Students acquire competency in th... + Read More"
"4","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","DRA9111","Drafting II: Introduction to Computer Modelling","Technology has transformed the way in which carpenters and joiners can locate and present critical measurements and details. An introduction... + Read More"
"5","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","ENL9212","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"6","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","MAT9111","Math II: Trade Calculations for Carpentry and Joinery","Focus is placed on fundamental calculations necessary in carpentry and joinery. Applications include the principles of ratio and proportion ... + Read More"
"7","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","MAT9115","Math I: Measurements for Carpentry and Joinery","Accurate measurement is paramount in carpentry and joinery. Imperial measurement is the norm in North America, and fractions are stressed fo... + Read More"
"8","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","WOO9254","Joinery I: Fundamentals","A comprehensive introduction to the use, selection and maintenance of hand tools is provided. Students research and compare woodworking tech... + Read More"
"9","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","DRA9221","Drafting III: Blueprint Reading and Estimating","Students read and interpret architectural plans, shop drawings and specifications. Activities include retrieving information, verifying mate... + Read More"
"10","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","MAT9223","Math III: Geometry and Shop Layout","With emphasis on practical application, students are introduced to layout using geometric principles. An exploration of linear constructions... + Read More"
"11","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","WOO9210","Carpentry II: Roofs and Finishes","The study of wood-framed house construction continues with an investigation into the framing of more complex roof systems. Traditional hip, ... + Read More"
"12","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","WOO9223","Wood","Wood has been the primary medium of carpenters and joiners for millennia. Wood qualities such as grain orientation, workability, colour, moi... + Read More"
"13","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","WOO9226","Joinery II: Architectural Millwork","Millwork provides the finishing touches to a building and helps to define its character. Techniques are introduced for turning and bending w... + Read More"
"14","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","GED0530","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"15","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","BSC9100","Housing, Energy and the Environment","Students examine the impact of the construction/historic conservation industry on the environment. This includes a study of the principles a... + Read More"
"16","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","BSC9300","Conservation Methods I: Windows","Students perform hands-on restoration techniques to repair traditional wooden windows. Reproduction and heritage windows are glazed and made... + Read More"
"17","Algonquin College","Heritage Carpentry and Joinery","https://www.algonquincollege.com/perth/program/carpentry-and-joinery-heritage","ENL9202","Communications II","Students write instructions and write for publication, create relevant job-search correspondence and career portfolios, writing various info... + Read More"
