"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","CON0007","Hardscape Installation I","Site surveying, grading, drainage and material installation techniques are key elements. Students study the theory of backfill and compactio... + Read More"
"2","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"3","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","GEP1001","Cooperative Education Readiness","Students are guided through a series of activities which prepares them for their co-op job search term.  Through a detailed orientation stud... + Read More"
"4","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","HOR7000","Nursery and Garden Centre Operations I","The propagation and cultivation of nursery stock is a key part of plant production. Students establish a solid foundation in plant nomenclat... + Read More"
"5","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","HOR7005","Urban Agriculture I","Students study how to effectively deal with the challenges of producing edible crops in the urban environment. Introduction to the propagati... + Read More"
"6","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","HOR7030","Landscape Maintenance I: Theory","Landscape maintenance involves the installation and maintenance of turf, planting beds, and herbaceous and woody plant material. Students ap... + Read More"
"7","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","HOR7031","Landscape Maintenance I: Applied","Group activities include installation and maintenance of turf, planting beds, and herbaceous and woody plant material. Students learn effici... + Read More"
"8","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","HOR7032","Horticultural Jobsite Safety","Safety orientation and training include OHSA (Occupational Health and Safety Act), WHMIS (Workplace Hazardous Materials Information System),... + Read More"
"9","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","CON7007","Hardscape Installation II: Theory","To make intelligent and environmentally-sound decisions on material selection, students explore manufactured and natural material specificat... + Read More"
"10","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","CON7008","Hardscape Installation II: Applied","Utilizing the woodwork construction lab and the indoor hard surface construction lab, students get hands-on experience in working with the v... + Read More"
"11","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","ENL1949","Business Communications for Horticulture","Students create a hypothetical horticulture business to serve as a real-life context for a variety of professional communication activities.... + Read More"
"12","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","HOR7007","Interiorscaping, Living Walls and Green Roofs","Interior plantscaping involves lighting, containers, soils, watering, nutrition and basic interior plantscaping design. Living wall technolo... + Read More"
"13","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","HOR7008","Urban Agriculture II","Organic and Bio-Dynamic gardening techniques introduce students to the diversity of plant growth philosophies. Students study what is involv... + Read More"
"14","Algonquin College","Horticultural Industries (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-industries/","HOR7011","Sustainable Landscape Design I","Basic Design Theory is essential in the composition of functional and aesthetically pleasing landscapes. Basic design theory includes site a... + Read More"
