"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","ENL0562","Workplace Communications","Students describe and demonstrate the oral and written communication skills required to function effectively as part of a crew/team in the w... + Read More"
"2","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0561","Workplace Safety","Students describe and demonstrate safe workplace practices, including dealing with on-site conditions, emergencies and hazards, according to... + Read More"
"3","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0563","Plant Science","Students describe plant biology, soil structure and quality, plant-media relationships, nutrient composition and the relationship to plant p... + Read More"
"4","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0564","Turf Management 1","Students describe and demonstrate turf grass mowing and fertilizing practices, including monitoring turf grass quality, plant health care, a... + Read More"
"5","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0565","Plant Identification 1","Students identify 80 ornamental landscape plants (See Ontario 2009 Plant List), using the required nomenclature, stating the cultural requir... + Read More"
"6","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0566","Plant Materials 1","Students describe grounds maintenance practices and procedures, including basic installation and transplanting processes for nursery stock, ... + Read More"
"7","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0567","Trade Calculations","Students identify, explain and demonstrate calculations used in the horticulture industry, including the use of standard measuring devices.... + Read More"
"8","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0568","Landscape Construction 1","Students describe and demonstrate the handling and installation of precast landscape paving, wall units and landscape timber wall components... + Read More"
"9","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0569","Integrated Pest Management and Plant Health Care","Students identify and describe management of pests and disorders of plant material (turf, trees, interior plants, greenhouse plants, perenni... + Read More"
"10","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0570","Landscape Equipment Maintenance","Students describe and demonstrate basic scheduled, preventative and ongoing maintenance procedures for powered horticultural equipment, acco... + Read More"
"11","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0571","First Aid and CPR Training","Students describe the application of first aid and CPR techniques for emergencies in the workplace. This unit comprises the standard First A... + Read More"
"12","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0572","Plant Propagation","Students describe and demonstrate plant propagation by sexual and asexual methods.... + Read More"
"13","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0573","Plant Production","Students describe plant production from growing, potting/lining out to sale/installation on site, according to respective federal, provincia... + Read More"
"14","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0574","Irrigation","Students describe water quality, plant water requirements and local conservation standards, water stewardship principles, basic irrigation s... + Read More"
"15","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0575","Turf Management 2","Students describe turf grass establishment and cultivation practices, including monitoring turf grass quality, plant health care, Integrated... + Read More"
"16","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0576","Plant Identification 2","Students identify and describe 120 ornamental landscape plants (See Ontario 2009 Plant List) using the required nomenclature, stating the cu... + Read More"
"17","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0577","Plant Materials 2","Students describe and demonstrate field digging and transplanting techniques, including transporting, aftercare and pruning techniques for n... + Read More"
"18","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0578","Site Layout, Grading and Surveying","Students describe an environmentally-sensitive site layout and drainage, including the placement and use of grading control devices, measuri... + Read More"
"19","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0579","Landscape Construction 2","Students describe and demonstrate the handling and installation of precast landscape paving, wall units and landscape timber wall components... + Read More"
"20","Algonquin College","Horticultural Technician (Apprenticeship)","https://www.algonquincollege.com/mediaanddesign/program/horticultural-technician/","HOR0580","Plan Reading and Quantity Take-Off, Quote Preparation","Students read and interpret plans, verify plan accuracy and determine equipment, materials and labour requirements to prepare a quote.... + Read More"
