"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","ACC4110","Accounting and Finance","In order to form strategic business decisions, human resources professionals must have an understanding of management finance and accounting... + Read More"
"2","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","HRM4110","Organizational Behaviour","Organizational behaviour examines how people and groups interact in the workplace from both practical and theoretical perspectives. Students... + Read More"
"3","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","HRM4111","Recruitment and Selection","Essential to an organization's success in meeting goals and remaining competitive is the ability to attract and select high performance empl... + Read More"
"4","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","LAW4110","Employment Law","In today's workplace human resources professionals are making important decisions impacted by Canadian legislation that is both employer and... + Read More"
"5","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","MGT4110","Human Resources Management","Human capital is a critical organizational resource that contributes to goal attainment, strategy, financial results and sustainability of t... + Read More"
"6","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","MGT4111","Project Management","Project management focuses on the application of project management theories and practices to human resources activities. Using software, st... + Read More"
"7","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","HRM4120","Total Rewards","In order to prosper in a competitive and changing environment, organizations must practice effective total reward strategies. Total rewards ... + Read More"
"8","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","HRM4122","Labour Relations","Human resources professionals often work in unionized environments, which provide a specific set of opportunities and challenges for an orga... + Read More"
"9","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","HRM4123","Training and Development","Organizations must remain competitive and agile and to do so requires high performance employees with the necessary knowledge and skills. Em... + Read More"
"10","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","HRM4124","Human Resources Planning","Human resources professionals have a significant impact when assisting organizations in developing and executing strategic plans and initiat... + Read More"
"11","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","HRM4125","Human Resources Management Research and Information Systems","Focusing on the business research process and the human resources information systems of an organization are important responsibilities of h... + Read More"
"12","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","HRM4126","Employee Relations","Human resources professionals design and execute employee relations initiatives, from overseeing the employee performance management process... + Read More"
"13","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","OHS4120","Occupational Safety and Health","Occupational health and safety in Canada is defined by a system of shared responsibilities. An overview of occupational health and safety is... + Read More"
"14","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","FLD4127","Field Placement","Qualified human resources students have the opportunity to apply academic knowledge to a workplace setting. Students who meet the requiremen... + Read More"
"15","Algonquin College","Human Resources Management","https://www.algonquincollege.com/business/program/human-resources-management/","HRM4127","Human Resources Career Planning","Human resources students explore career planning and development strategies including building a professional portfolio, job search strategi... + Read More"
