"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4001","Critical Thinking and Academic Writing","Exercises in speaking, writing, researching and discussing of academic texts inform the preparation of academic documents including summarie... + Read More"
"2","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4002","Topics in Design History and Theory","Through lectures, independent research, and group activities, learners develop the ability to identify and explain historical and theoretica... + Read More"
"3","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4003","Perspectives in Interior Design","Students study the major influencers of design decisions (e.g. cultural implications, technology, demographic trends, sustainability, and bu... + Read More"
"4","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4004","Sustainable Issues","Students study the history and evolution of the built environment and the effects of human development on the availability of natural resour... + Read More"
"5","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4005","Issues in Psychology","Students develop an understanding of psychological concepts as they apply to the relationship of human behaviour to the natural and built en... + Read More"
"6","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4100","Co-Operative Work Term","Students with the opportunity to consolidate and apply acquired knowledge and skills in a related work area. Students work as members of a d... + Read More"
"7","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4073","Applied Research","An understanding of applied research, the process of applying existing knowledge or processes to create useful products or services, is prov... + Read More"
"8","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4076","Design Studio VII","Students apply knowledge obtained in the previous years to complete studio assignments centered upon complex environments with an emphasis o... + Read More"
"9","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4078","Construction VII","Focus is on developing an understanding of the integration and coordination of building components through the study of building materials a... + Read More"
"10","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","ECO2000","Environmental Economics","Issues pertaining to the environment have a major financial impact on society and government. Environmental economics examines the way human... + Read More"
"11","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","SOC4001","Global Perspectives","Sociology, through its exploration of the organization of society and the connections between people and their surroundings, provides new wa... + Read More"
"12","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","CUL4000","Global Citizenship","Informed citizens in today's world appreciate the meaning of civic life at the local, national and global level. Students reflect on and dev... + Read More"
"13","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4080","Senior Project","In this culminating advanced studio, students are guided by faculty to apply their accumulated knowledge to a topic and design sector of the... + Read More"
"14","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4081","Senior Seminar","Focus is on readings and discussions of contemporary thought and movements within the field of interior design and architecture with special... + Read More"
"15","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4083","Professional Practice and Ethics II","Students continue their study of the current state of interior design profession and practice, business and project management and  ethical ... + Read More"
"16","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","DSN4094","Community Connection IV","The spirit of volunteerism and community involvement is an important professional goal. Participating in industry and college events and act... + Read More"
"17","Algonquin College","I*Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op)","https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/","ENL4016","World Literature","Exposure to broad sources of literature promotes an open-minded perspective on today's global society and encourages an appreciation of dive... + Read More"
