"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","MTM6101","Introduction to Photography","Students discover the capabilities of professional level cameras by exploring the functions beyond simply pointing and clicking. By using ma... + Read More"
"3","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","MTM6130","Responsive Web Design I","The ubiquity of devices of all shapes and sizes means web content can no longer be guaranteed to be delivered on a specific platform. Studen... + Read More"
"4","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","MTM6160","Digital Graphics","The creation of digital art requires an understanding of the modern techniques, tools and file formats the industry uses. By exploring and u... + Read More"
"5","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","MTM6162","Design Foundations","Through a hands-on approach to design theory, students become objective rather than subjective about good design. Through project-based lear... + Read More"
"6","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","DSN2100M","Design Thinking","Design Thinking uses a designer mindset to produce business innovations in products and services, with a focus on deep understanding of and ... + Read More"
"7","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","GED0020","Entrepreneurial Mindset","How do entrepreneurs identify opportunities that others overlook? What are the underlying beliefs and assumptions that enable them to succee... + Read More"
"8","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","ENL6007","Professional Communication for Interactive Media Design","Strong communication skills are a key part of professional success. Your goal is to write clear, correct and concise print and web-based con... + Read More"
"9","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","MTM6200","Video Foundations","Students explore the full video production life cycle, from planning and pre-production to editing and post-production. Video and audio tech... + Read More"
"10","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","MTM6201","Responsive Web Design II","This course expands on the basic knowledge of CSS3 to incorporate topics such as fluid design, media queries, SASS, CSS frame work, and web ... + Read More"
"11","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","MTM6231","Content Management Systems I","In the fast-paced media industry, not every project needs to be built from scratch. Content Management Systems (CMS) offer pre-built functio... + Read More"
"12","Algonquin College","Interactive Media Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interactive-media-design/","MTM6260","User Experience Design","Going beyond the basics of creating graphics and user interfaces, students focus on how interfaces must react to user expectations. Students... + Read More"
