"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1511","Web Design","Students are introduced to the fundamentals of web design. Students learn how to use industry standard software packages, used for layout, p... + Read More"
"2","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1519","Web Development","An understanding of the current and next-generation mark-up languages for web development, including HTML, CSS and JavaScript is provided. C... + Read More"
"3","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1533","Graphic Applications","Students learn how to use Adobe Photoshop and Illustrator, the current industry-standard in graphic design and editing software, emphasizing... + Read More"
"4","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1535","Studio Lab I","The common threads linked to various multimedia industries are demonstrated. Topics include dSLR photography, file management, project manag... + Read More"
"5","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1537","UX Design","Students explore the essential design elements and layout components, which are used in creating rich unique user experiences. The planning ... + Read More"
"6","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1539","Video Composition","Students are introduced to non-linear video editing and composition. Adobe Premiere Pro is used in the importation, assembly and exportation... + Read More"
"7","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1521","Motion Graphic Effects","Motion graphics is a mainstream format in the dynamic presentation of information. Students will learn how to create motion graphic videos, ... + Read More"
"8","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1526","Client-Side Development","This course builds upon the web development languages. Various scripting techniques are covered to give students the opportunity to create d... + Read More"
"9","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1529","Studio Lab II","This course is a continuation of Studio Lab I and explores present-day technologies. Students focus on portfolio and resume development, and... + Read More"
"10","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1531","Database and Server-Side Development","Students explore more advanced technologies, such as PHP and MySQL and how they relate to dynamic web development. Students move from client... + Read More"
"11","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1534","Client Projects","Students are provided a hands-on approach to a live-client project in which they learn the necessary steps in establishing a working relatio... + Read More"
"12","Algonquin College","Interactive Media Management","https://www.algonquincollege.com/mediaanddesign/program/imm/","MTM1538","Dynamic Media","Students are introduced to dynamic media and the standards for creating enhanced presentations, animation and interfaces. Possible topics in... + Read More"
