"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","DSN8010","Concepts and Contexts I","Design history and theory provide design practitioners the theoretical frameworks and conceptual foundations to position and validate design... + Read More"
"2","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","DSN8011","Design Methods I","Design research is critical to identifying human needs and evaluating project outcomes. Students apply human-centred methodologies and workf... + Read More"
"3","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","DSN8012","Communication Design","Design requires strong sketching, writing and presentation skills to effectively pitch and defend strategies and concepts. Students apply pr... + Read More"
"4","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","DSN8013","Systems and Services","Services are positioned within organizational, social and economic systems. The interaction between people, information and physical or digi... + Read More"
"5","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","DSN8014","Industry Project I","Industry is in need of professionals who can ideate solutions for complex service-related problems. Working with various industry partners s... + Read More"
"6","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","MGT8010","Team Management","Design teams can become increasingly complex as they grow to accommodate the scope and requirements of a project throughout development. The... + Read More"
"7","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","BUS8020","Business Practices","Product design and business strategy are interwoven. Through market analysis, case studies, and through discussion with industry guest speak... + Read More"
"8","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","DSN8020","Concepts and Contexts II","Academic and professional literature provides context for the strategies and concepts developed in a major project. Special attention is giv... + Read More"
"9","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","DSN8021","Design Methods II","Students plan, ideate, prototype and test industry projects by applying human-centred methodologies and workflows. Data collected from prima... + Read More"
"10","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","DSN8022","Human-Computer Interaction Fundamentals","As products and services become increasingly digital, designers must understand the technical limitations and inherent possibilities of the ... + Read More"
"11","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","DSN8023","Industry Project II","Working with industry partners, student teams apply an interdisciplinary and human-centred design approach to research and develop product s... + Read More"
"12","Algonquin College","Interdisciplinary Studies in Human-Centred Design (Co-op and Non Co-op Version)","https://www.algonquincollege.com/mediaanddesign/program/interdisciplinary-studies-in-human-centred-design/","WKT8020","Interdisciplinary Studies In Human- Centred Design Co-operative Work Term","This optional co-op placement provides students with experiential opportunities within the field. Students gain entry-level positions that i... + Read More"
