"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","COM1100","Communications/Technologies","Effective communication is key to any interaction. A significant amount of information is exchanged between project participants, stakeholde... + Read More"
"2","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","ECO1100","World Issues and Economical/Political Perspective","From the economic and geographic point of view, the world is currently in a state of flux. As world monetary systems become integrated into ... + Read More"
"3","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","MGT1101","Global Business","The context in which international trade takes place, as well as the opportunities and challenges it presents for business, have changed dra... + Read More"
"4","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","MGT1102","International Research","Global business cannot be conducted in an information vacuum. Knowledge and information are truly powerful elements of international trade a... + Read More"
"5","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","MGT1103","International Market Entry Strategies and Partnerships","Armed with the knowledge and intelligence from market research, companies can analyze various markets to determine which offer the greatest ... + Read More"
"6","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","MGT1104","Corporate Social Responsibility and Business Ethics","Using cutting-edge analysis of critical issues in the field of corporate social responsibility (CSR), students examine the ethical challenge... + Read More"
"7","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","FIN1200","International Finance","Traditional business finance courses focus on the math of finance, typically focusing on the financial analysis side of business activity. S... + Read More"
"8","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","LAW1200","International Trade Law","Students become familiar with the basic legal systems and principles of carrying on international business. Using material presented from bo... + Read More"
"9","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","MGT1201","International Project Management and Leadership","International businesses are turning to project management to meet and achieve their strategic and operational goals. Students learn the bas... + Read More"
"10","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","MGT1202","International Supply Chain Management","Globalization is responsible for the creation of the modern supply chain, global value chains, and the need for companies and countries to e... + Read More"
"11","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","MGT1203","International Business Management","Knowledge of the various aspects of international business is incomplete if a global business professional is not able to assimilate, analyz... + Read More"
"12","Algonquin College","International Business Management","https://www.algonquincollege.com/business/program/international-business-management/","MKT1200","International Marketing","Building on traditional marketing concepts, this course explains how to take a product or service into the global market. Students investiga... + Read More"
