"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Internet Applications and Web Development (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/internet-applications-web-development/","CST8209","Web Programming I","Emphasis is on client-side browser scripting using JavaScript. Students focus on the theory behind client-side web scripting and how to mana... + Read More"
"2","Algonquin College","Internet Applications and Web Development (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/internet-applications-web-development/","CST8260","Database System and Concepts","A solid theoretical and practical understanding of database systems is provided. Topics covered include relational database design, data def... + Read More"
"3","Algonquin College","Internet Applications and Web Development (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/internet-applications-web-development/","CST8279","Introduction Computer Programming Using Python","Emphasis is on principles of software development, style and testing. Students learn the basics of robust computer programming, with emphasi... + Read More"
"4","Algonquin College","Internet Applications and Web Development (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/internet-applications-web-development/","CST8300","Achieving Success in Changing Environments","Rapid changes in technology have created personal and employment choices that challenge each of us to find our place as contributing citizen... + Read More"
"5","Algonquin College","Internet Applications and Web Development (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/internet-applications-web-development/","MAD9013","Cross-Platform Web Design","Technologies on the web evolve quickly. Every year brings new devices and with them new capabilities. These devices present many challenges ... + Read More"
"6","Algonquin College","Internet Applications and Web Development (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/internet-applications-web-development/","MAT8001C","Technical Mathematics for Computer Science","The study of algebraic and transcendental functions is an essential prerequisite to Calculus. Students manipulate algebraic expressions, sol... + Read More"
"7","Algonquin College","Internet Applications and Web Development (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/internet-applications-web-development/","CST8250","Database Design and Administration","A solid theoretical and practical understanding of database design and database administration is provided. The material is dealt with from ... + Read More"
"8","Algonquin College","Internet Applications and Web Development (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/internet-applications-web-development/","CST8253","Web Programming II","Through the study of C# and ASP.net, students learn the concepts of object-oriented programming as applied to the design, the development, a... + Read More"
"9","Algonquin College","Internet Applications and Web Development (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/internet-applications-web-development/","CST8254","Network Operating Systems","Students are introduced to the concepts behind implementing network operating systems in a multiple user, computer and Internet Protocol (IP... + Read More"
"10","Algonquin College","Internet Applications and Web Development (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/internet-applications-web-development/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"11","Algonquin College","Internet Applications and Web Development (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/internet-applications-web-development/","MAD9010","Graphics Technologies","Students are introduced to graphics and illustration programs in the computer environment. Students also learn skills and production techniq... + Read More"
