"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1504","Desktop Publishing","Students learn the basics of desktop publishing, including software which enables students to engage in, and explore, varieties of typograph... + Read More"
"3","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1516","Introduction to Photojournalism","Students are provided with basic knowledge of photography. Students learn how a digital Single Lens Reflex (DSLR) works and how to manipulat... + Read More"
"4","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1534","Media Literacy","Journalists should know a little about a lot and be curious about events taking place in the world around them. An interest in the news even... + Read More"
"5","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1545","Audio Storytelling I","Radio is an established journalistic medium that continues to grow in exciting new directions on digital platforms. Students get an introduc... + Read More"
"6","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1546","Journalism I","Students become familiar with the overall concept of journalism, including what constitutes news, where it comes from and responsible report... + Read More"
"7","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","SSC0058","Local Government","A thorough understanding of how the Ontario municipal government works and impacts the lives of citizens is provided. The structure of city,... + Read More"
"8","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","ENL2008","Interpersonal Skills for Personal and Career Success","Students explore a number of different factors that affect our relationships with other people. Students have an opportunity to assess, anal... + Read More"
"9","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1506","Photojournalism","The effective use of a digital camera for still and video shooting in journalistic scenarios is covered. Students learn about candid shootin... + Read More"
"10","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1517","News Design I","Students learn to design and paginate newspapers and put their training to use on the Algonquin Times. Students are further trained to use t... + Read More"
"11","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1524","Narrative Writing","Focus is placed on developing the skills required for writing magazine and newspaper features. Students learn the fundamental skills require... + Read More"
"12","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1528","Editing I","The basics of copy editing through proactively identifying common writing problems and re-working stories for publication in the Algonquin T... + Read More"
"13","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1547","Journalism II","Students begin work on the College newspaper, the Algonquin Times, by reporting and writing stories of interest to the community. They condu... + Read More"
"14","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1548","Audio Storytelling II","Building on the basic radio and podcasting skills learned in Audio Storytelling, this course enables students to repurpose stories they publ... + Read More"
"15","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","GED0402","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"16","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","DSN2100M","Design Thinking","Design Thinking uses a designer mindset to produce business innovations in products and services, with a focus on deep understanding of and ... + Read More"
"17","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1518","Multimedia I","Students are introduced to online news design, and learn basic software applications that enable them to create infographics and web-based s... + Read More"
"18","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1526","Data Journalism","Gathering information from electronic sources and organizing it in a way that allows a journalist to sort and ""interview"" data is an increas... + Read More"
"19","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1537","Editing II","Students expand their editing skills by working on copy intended for publication in Glue magazine's print and online editions. The magazine ... + Read More"
"20","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1542","Visual Storytelling","Students learn how to shoot video with DSLR cameras and produce video stories using Adobe Premiere software. Capturing good audio, storyboar... + Read More"
"21","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1543","Broadcast Journalism I","Students learn radio broadcast news gathering and writing styles. An introduction to Broadcast News style, writing scripts, voice-overs and ... + Read More"
"22","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1544","Journalism III","Students develop advanced and investigative reporting techniques while publishing the Algonquin Times in print and online. Guest speakers, f... + Read More"
"23","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1538","Field Work","Students apply acquired skills to a real-work environment. Students are placed with various media organizations for an internship, working a... + Read More"
"24","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1539","Journalism IV","Students learn to operate as freelance journalists. Markets, branding, query letters, small business issues, methods for job searching and n... + Read More"
"25","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1540","Multimedia II","Students learn how to create multimedia stories using web tools and storyboards, as well as how to use visual social media and smartphone an... + Read More"
"26","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1541","Field Work Preparation","Students develop the tools and skills necessary in order to confidently apply to field work positions. Students meet individually with facul... + Read More"
"27","Algonquin College","Journalism","https://www.algonquincollege.com/mediaanddesign/program/journalism/","JOU1549","Journalism for Communications","Public and private sectors are turning to journalism-trained recruits to fill needs associated with content production for their digital med... + Read More"
