"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","ENL1962","English Fundamentals","Students develop language skills necessary to promote success in program courses and, ultimately, business careers. Students achieve correct... + Read More"
"2","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","GEN1001M","Ethics: What Is the Big Deal?","A number of high-profile cases during the last decade have increased people's awareness of the significant role played by values and choices... + Read More"
"3","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW1706L","Torts and Contracts","The study of the principles of tort and contract law provides a foundation for better understanding of a variety of specialized areas of law... + Read More"
"4","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2208L","Legal Fundamentals for Law Clerks","Students are provided with a general overview of Canada's legal system including the nature of law, sources and divisions of law, the federa... + Read More"
"5","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2245L","Legal Research I","Effective preparation for court appearances, as well as providing advice to clients requires research of relevant law. Students learn to use... + Read More"
"6","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2265L","Legal Computer Applications I","Students learn the essentials of the computer operating system, presentation software, spreadsheet application software, personal informatio... + Read More"
"7","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","ACC2292L","Legal Accounting","Students become familiar with the recording of basic accounting transactions in a manual accounting system. Students also learn to set up a ... + Read More"
"8","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","ENL1813B","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"9","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2206L","Family Law","Law clerks assist lawyers in the preparation of appropriate documentation for the creation, as well as the breakdown of domestic relations t... + Read More"
"10","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2230L","Residential Tenancies and Commercial Leasing","Students are introduced to the legislation and contracts which govern the landlord and tenant relationship in both residential and commercia... + Read More"
"11","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2260L","Legal Research II","Effective preparation for court appearances, as well as providing advice to clients requires research of relevant law. Students learn to use... + Read More"
"12","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2270L","Legal Computer Applications II","Students continue to develop their skills using word processing software. Using advanced word processing software functions, students prepar... + Read More"
"13","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","GED0220","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"14","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW0032L","Real Estate Procedures","Students learn the theory behind real estate applications and apply real estate knowledge by preparing a complete client file involving the ... + Read More"
"15","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW0033L","Corporate Law","Corporations are a form of business organization recognized and regulated by law. Using applicable legal software, students learn the substa... + Read More"
"16","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW0042L","Legal Computer Applications III and Evidentiary Management","Students continue towards the development of advanced word processing skills and prepare a variety of documents relevant to the discovery pr... + Read More"
"17","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2222L","Civil Procedures I","Litigation in the civil courts requires an understanding of the jurisdiction and procedural requirements of the numerous courts at the provi... + Read More"
"18","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","ENL1725","Canadian Identity","Canadian identity is challenging to define, but depictions of our multicultural society are found and explored in our writing. This course e... + Read More"
"19","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","ENL1726","Symbols, Text and Meaning","Symbols and text are used to express, evoke, and manipulate an entire range of human emotions and reactions. In this interactive, discussion... + Read More"
"20","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","ENL1798","Contemporary Canadian Issues","A critical understanding of contemporary Canadian issues is vital to being an active member in our democratic society. Students explore a va... + Read More"
"21","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","ENL1825","Communication Dynamics","Humans are dynamic, communicative, and socially interactive. Participants consider human behaviour and its influence on interpersonal or imp... + Read More"
"22","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","ENL1829","The Art of Oratory","From ghost stories around the campfire to political speeches by world leaders, ethical oratory plays a significant role in human interaction... + Read More"
"23","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW0043L","Law Clerk Work Practicum","Students in the final semester of the program, who have completed all first, second and third level courses, will have the ability to partic... + Read More"
"24","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2207L","Administrative and Federal Court Practice","The implementation of a multitude of government policy initiatives and procedures has been delegated to a wide variety of administrative bod... + Read More"
"25","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2232L","Civil Procedures II","Applying the relevant rules of civil procedure, students learn to draft a variety of court documents from the initiation of an action to fin... + Read More"
"26","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2254L","Estate Administration and Procedures","Administration of an individual's affairs by another can occur at a time of mental incapacity or at death. Students learn the applicable leg... + Read More"
"27","Algonquin College","Law Clerk","https://www.algonquincollege.com/business/program/law-clerk/","LAW2259L","Debtors' and Creditors' Rights","Resolution of issues arising between debtors and creditors requires consideration of a wide variety of legislation designed to protect the r... + Read More"
