"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","ACC2292I","Legal Accounting","Students become familiar with the recording of basic accounting transactions in a manual accounting system. Students also learn to set up a ... + Read More"
"2","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW1706I","Torts and Contracts","The study of the principles of tort and contract law provides a foundation for better understanding of a variety of specialized areas of law... + Read More"
"3","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2208I","Legal Fundamentals for Law Clerks","Students are provided with a general overview of Canada's legal system including the nature of law, sources and divisions of law, the federa... + Read More"
"4","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2222I","Civil Procedures I","Litigation in the civil courts requires an understanding of the jurisdiction and procedural requirements of the numerous courts at the provi... + Read More"
"5","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2233I","Residential Tenancies and Commercial Leasing","Students are introduced to the legislation and contracts which govern the landlord and tenant relationship in both residential and commercia... + Read More"
"6","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2245I","Legal Research I","Effective preparation for court appearances, as well as providing advice to clients requires research of relevant law. Students learn to use... + Read More"
"7","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2265I","Legal Computer Applications I","Students learn the essentials of the computer operating system, presentation software, spreadsheet application software, personal informatio... + Read More"
"8","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW0032I","Real Estate Procedures","Students learn the theory behind real-estate applications and apply real-estate knowledge by preparing a complete client file involving the ... + Read More"
"9","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2206I","Family Law","Law clerks assist lawyers in the preparation of appropriate documentation for the creation, as well as the breakdown of domestic relations t... + Read More"
"10","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2207I","Administrative and Federal Court Practice","The implementation of a multitude of government policy initiatives and procedures has been delegated to a wide variety of administrative bod... + Read More"
"11","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2232I","Civil Procedures II","Applying the relevant rules of civil procedure, students learn to draft a variety of court documents from the initiation of an action to fin... + Read More"
"12","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2260I","Legal Research II","Effective preparation for court appearances, as well as providing advice to clients requires research of relevant law. Students learn to use... + Read More"
"13","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2270I","Legal Computer Applications II","Students continue to develop their skills using word processing software. Using advanced word processing software functions, students prepar... + Read More"
"14","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW0033I","Corporate Law","Corporations are a form of business organization recognized and regulated by law. Using applicable legal software, students learn the substa... + Read More"
"15","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW0042I","Legal Computer Applications III and Evidentiary Management","Students continue towards the development of advanced word processing skills and prepare a variety of documents relevant to the discovery pr... + Read More"
"16","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW0043I","Law Clerk Work Practicum","Students in the final semester of the program, who have completed all first and second level courses, will have the ability to participate i... + Read More"
"17","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2254I","Estate Administration and Procedures","Administration of an individual's affairs by another can occur at a time of mental incapacity or at death. Students learn the applicable leg... + Read More"
"18","Algonquin College","Law Clerk (Intensive)","https://www.algonquincollege.com/business/program/law-clerk-intensive/","LAW2259I","Debtors' and Creditors' Rights","Resolution of issues arising between debtors and creditors requires consideration of a wide variety of legislation designed to protect the r... + Read More"
