"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MGT1109","Business Skills and Personal Development","Marketing professionals need to be adaptable and resourceful in order to succeed in a competitive global environment. You will acquire essen... + Read More"
"2","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MKT1100","Foundations in Marketing","Marketing's contribution to organizational performance is increasingly global, competitive and rapidly changing. You explore the fundamental... + Read More"
"3","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MKT1101","Consumer Behaviour","Addressing the cultural and sub-cultural factors that shape consumer behaviour is essential in the changing Canadian and global marketplace.... + Read More"
"4","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MKT1103","Brand Management","Over the last century brands have become key drivers of consumer purchasing decisions. You examine contemporary brand management theory and ... + Read More"
"5","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MKT1104","Digital Marketing and Customer Relationship Management","Internet and the widespread use of electronic, digital and mobile devices have provided a new set of opportunities and challenges to connect... + Read More"
"6","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MKT1214","Market Research","Marketing research is essential to an organization's marketing plan and strategy. You investigate the role and practical applications of mar... + Read More"
"7","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MKT1207","Retail Management and Marketing","In recent years, retailers have faced increased levels of competition, the growth of the Internet, new technologies and changing consumer ex... + Read More"
"8","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MKT1208","Services Marketing","Service industries dominate most developed economies and a growing number of service organizations compete in global markets. You examine th... + Read More"
"9","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MKT1212","Business to Business (B2B) Sales and Marketing","Relationship marketing and sales understanding are essential in Business to Business (B2B) situations. You explore the distinct approaches r... + Read More"
"10","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MKT1213","Integrated Marketing Communications and Digital Media","In highly competitive markets, companies must seek not only to differentiate their brands but also to effectively communicate their differen... + Read More"
"11","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MKT1220","Business Analysis For Marketers","More than ever before, analytical and research skills are essential to be successful in marketing.  With the rise of social media and online... + Read More"
"12","Algonquin College","Marketing Management","https://www.algonquincollege.com/business/program/marketing-management/","MKT1219","Marketing Plan, Strategy and Consulting","A clear marketing plan and strategy are crucial to the success of an organization. You examine marketing plan theory and conceptual framewor... + Read More"
