"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","MGT1213","Introduction to Work Placement","You are prepared for individual work placements in the industry or in client-side organizations. You will assess your skills and competencie... + Read More"
"2","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","MKT1201","Fundamentals of Marketing Research","You will explore the foundation of marketing research principles and how marketing research is used to inform business decisions. Learning p... + Read More"
"3","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","MKT1202","Questionnaire Design","You gain an understanding of consumer behaviour and public opinion in the context of developing a research questionnaire. You will learn how... + Read More"
"4","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","MKT1203","Qualitative Marketing Research","Current theories and applications of qualitative research techniques are discussed. You learn about the key criteria in selecting a qualitat... + Read More"
"5","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","MKT1205","Online Marketing Research","Online environments and tools have had a dramatic impact on consumer behaviour and marketing. You will map the market research process into ... + Read More"
"6","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","MKT1209","Marketing Research Design","In research, it often proves to be the case that collected data is only as good as the questions that are asked. You will explore the most i... + Read More"
"7","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","QUA1206","Data Analysis for Quantitative Research I","You gain an understanding of the principles and tools of statistical reasoning and analysis. You will develop approaches to analyze quantita... + Read More"
"8","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","MGT1208","Competitive Marketing Intelligence for Researchers","Competitive marketing intelligence is the process through which businesses gather relevant and useful information about competitors and the ... + Read More"
"9","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","MKT1204","Ethical Decision Making and Executive Skills for Marketing Research","To maintain professional integrity, market researchers must be familiar with industry standards for high-quality research, so they can make ... + Read More"
"10","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","MKT1210","International Marketing Research","Marketing research in the global and intercultural context is an important principle for market researchers as the breadth of product penetr... + Read More"
"11","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","MKT1211","Research for Core Industries","You will discover how marketing research and public opinion research contribute to major sectors, including government, education, tourism, ... + Read More"
"12","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","MKT1217","Emerging Techniques in Marketing Research","Marketing Research and Business Intelligence are dynamic fields, with new approaches rapidly evolving and changing the research landscape. Y... + Read More"
"13","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","QUA1212","Data Analysis for Quantitative Research II","Building on existing quantitative analysis techniques, you will explore multivariate analysis, which includes a range of techniques that mea... + Read More"
"14","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","FLD1214","Work Placement","If you qualify for this course, you apply the academic knowledge and hands-on skills you have acquired in an approved placement in a supervi... + Read More"
"15","Algonquin College","Marketing Research and Business Intelligence","https://www.algonquincollege.com/business/program/marketing-research-and-business-intelligence/","FLD1215","Work Projects","If you qualify for this course, you apply the academic knowledge and hands-on skills you have acquired in a supervised setting within the co... + Read More"
