"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","ANP0001","Physiology Intensive I","Understanding the building blocks of the human body is essential to unravelling its complexities. Students build their understanding of norm... + Read More"
"2","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","MSS0006","Massage Theory Intensive I","Massage therapists provide therapeutic nurturing touch and develop the awareness of the physiological and psychological effects of massage a... + Read More"
"3","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","MSS0007","Massage Lab Intensive I","Recognizing and identifying musculoskeletal structures significant to massage therapy lie at the core of the effective massage therapist. St... + Read More"
"4","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","MSS0018","Wellness Fundamentals","Wellness is a core concept in optimal health and an essential part of the practice of massage therapy.  Students discuss concepts of optimal... + Read More"
"5","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","MSS3023","Professional Practice I","Massage therapy is a self-regulated profession governed by the College of Massage Therapists of Ontario (CMTO). Students are introduced to j... + Read More"
"6","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","ANP0002","Physiology Intensive II with Pathophysiology I","Understanding and exploring the healthy and diseased states of the body's interconnected systems allows the massage therapist to effectively... + Read More"
"7","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","MGT0101","Business Fundamentals for Client-Centred Practice","Financial literacy is essential to the business of massage therapy. Students learn to identify basic financial and accounting concepts as we... + Read More"
"8","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","MSS0008","Massage Theory Intensive II","Managing a client's case is an essential skill to massage practice. Students develop critical-thinking skills enabling them to apply advance... + Read More"
"9","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","MSS0009C","Massage Practice Intensive - Clinic","Following successful completion of MSS0009L, the lab will become a clinical setting and students will practise their skills on the general p... + Read More"
"10","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","MSS0009L","Massage Lab Intensive II","An Integrated process for client case management is essential for the successful and effective massage therapist.  Students integrate histor... + Read More"
"11","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","MSS0022","Massage Therapy Communications I","Communication represents a key element in practicing massage therapy because therapists meet their clients in a personal one-on-one setting.... + Read More"
"12","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","MSS3053","Professional Practice II","As regulated health professionals, massage therapists must meet the responsibilities and expectations associated with pertinent legislation,... + Read More"
"13","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","BIO4312","Pathophysiology II","People with a compromised health status depend on massage therapists to tailor treatment with consideration of current knowledge. Students d... + Read More"
"14","Algonquin College","Massage Therapy (Intensive)","https://www.algonquincollege.com/healthandcommunity/program/massage-therapy-intensive/","MSS0033","Massage Therapy Communications II","Massage therapists encounter a myriad of complex interpersonal situations when clients share personal stories of loss, grief and trauma. Par... + Read More"
