"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","CAD8300","Computer Aided Design/Drafting (CAD/D)","Students are introduced to (CAD/D) Computer-Aided Design/Drafting. Students use a commercial 3D CAD/D system (SolidWorks) to parametrically ... + Read More"
"2","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","ELN9104","DC and AC Electronics","An understanding of entry-level electronics is essential to all engineering fields. Students explore basic electrical components and how the... + Read More"
"3","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"4","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","GEN2003M","Healthy Lifestyle","Are you eating healthy foods? Do you exercise regularly? Do you know how to prevent injuries and disease? These are some of the skills neces... + Read More"
"5","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","MAT8100","Essential Mathematics","The study of algebraic and transcendental functions is an essential prerequisite to Calculus. Students manipulate algebraic expressions, sol... + Read More"
"6","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","MFG8518","Manufacturing and Metrology","Manufacturing is complex and dynamic, and professionals must continuously demonstrate skill, adaptability, creativity and collaboration.  By... + Read More"
"7","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","ROB8220","Industrial Pneumatics","The current trend towards ever-increasing automation requires a workforce trained in all aspects of automated systems, including pneumatics ... + Read More"
"8","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","CAD8305","CAD Applications and GDT","Students use a commercial CAD/D system (SolidWorks) to parametrically model mechanical parts, assemblies and systems. Rudimentary statistics... + Read More"
"9","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","ENG8307","Statics","Statics is the study of bodies at rest, or of forces in equilibrium. Students explore concepts of free body diagram, force, moment, couple, ... + Read More"
"10","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","ENG8308","Strength of Materials I","Students are introduced to applied stress analysis including normal and shear stress, deformation and various material properties. Hooke's L... + Read More"
"11","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","GED0019","Becoming an Entrepreneur: Is It for Me?","The ever changing global economy presents many challenges for job seekers, but it also provides opportunities for entrepreneurs.  The proces... + Read More"
"12","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","MAC8519","Manufacturing Techniques I","The fundamentals of machining are covered. Focus is placed on metal removal operations and the selection of machine tools for specific opera... + Read More"
"13","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","MAT8101","Differential Calculus","Differential Calculus is the mathematical study of rates of change. The derivative, its definition and interpretation and its applications a... + Read More"
"14","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","WEL9107","Introduction to Fuel Gas and Electrical Welding","Welding is a skill essential to a variety of professions. Students develop competent welding skills at a basic level using oxyacetylene equi... + Read More"
"15","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","CAM8515","Computer Aided Manufacturing I","The use of Computer Numerical Control (CNC) machinery has become a standard in the manufacturing industry. Through instruction and discussio... + Read More"
"16","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","ELN8297","Industrial Electricity","Theory and applications of industrial electrical components are expanded. Topics covered expand on previous knowledge of relays, transformer... + Read More"
"17","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","ENG8306","Materials Science","Understanding the properties of materials is an important component in working with such materials. Topics covered include crystal structure... + Read More"
"18","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","ENG8309","Strength of Materials II","Students are introduced to combined loadings, pressure vessels, the state of stress and the use of Mohr's circle to determine principle stre... + Read More"
"19","Algonquin College","Mechanical Engineering Technology (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/mechanical-engineering-technology/","ENG8310","Dynamics","Students explore the dynamics of particles and rigid bodies. Topics include position, velocity, acceleration analysis, Newton's second law, ... + Read More"
