"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","DRA1510","Drawing Methods and Blueprint Reading","The blueprint of a project provides an easily-understood visual representation used by trades-people. Students interpret and create basic ar... + Read More"
"2","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","ELE1510","Introduction to Electrical Trade Theory","With electricity being the main power source globally, possessing a fundamental working knowledge of electricity is a desirable skillset in ... + Read More"
"3","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"4","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","GED2012","Achieving Success in the 21st Century","Rapid changes in technology have created new employment and business opportunities that challenge each of us to find our place as citizens i... + Read More"
"5","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","MAT1510","Trade Math Calculations I","In the field of plumbing, people us basic math skills on a daily basis. An emphasis is placed on the student's ability to use and comprehend... + Read More"
"6","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","PLU1510","Construction Plumbing Theory I","A great deal of science and rationale goes into the decisions as to why and where plumbing materials are applied for appropriate situations.... + Read More"
"7","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","PLU1511","Tools and Piping Materials I","Making the connection between theory and application is essential for the safe and accurate installation of plumbing systems. Students conce... + Read More"
"8","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","SAF1510","Rigging, Hoisting and Workplace Safety","Possessing the knowledge of and ability to apply safety on the worksite is essential to oneself and others. Students new to trade programs b... + Read More"
"9","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","COM1520","Inter-Professional Trades Communication","Successful interaction between individuals relies on effective communication skills. Communication with and perspective of other trades prom... + Read More"
"10","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","DRA1520","Plumbing Drafting and Blueprint Reading","The construction trade requires the ability to create and customize blueprints conforming to plumbing specifications. Students expand knowle... + Read More"
"11","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","MAT1520","Trade Math Calculations II","Possessing the ability to solve trade-related problems using math is essential in the workplace. An emphasis is placed on the student's abil... + Read More"
"12","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","PLU1520","Construction Plumbing Theory II","Many plumbing projects require complex and customized plumbing solutions. Students gain theory behind the integration of plumbing systems in... + Read More"
"13","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","PLU1521","Tools and Piping Materials II","The ability to apply basic methods to install, repair and maintain plumbing systems are essential skills for individuals entering the plumbi... + Read More"
"14","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","PLU1522","Plumbing Documentation","Management of documentation pertaining to cost and material analysis for projects is a central responsibility in the plumbing profession. Em... + Read More"
"15","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","WEL1520","Welding Practices and Processes","Possessing introductory skills and knowledge in the welding trade is valuable across many other trades. Students develop practical introduct... + Read More"
"16","Algonquin College","Mechanical Techniques - Plumbing","https://www.algonquincollege.com/acce/program/mechanical-techniques-plumbing/","WKT1520","Mechanical Techniques - Plumbing Work-Term","Gaining workplace exposure provides students with insight into the day-to-day operations of the jobsite. Throughout the work term, students ... + Read More"
