"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Medical Radiation Technology","https://www.algonquincollege.com/healthandcommunity/program/medical-radiation-technology/","BIO0002","Applied Anatomy and Physiology I","The study of the human body as outlined by anatomy and physiology concepts is the basic knowledge for positional techniques of patients. All... + Read More"
"2","Algonquin College","Medical Radiation Technology","https://www.algonquincollege.com/healthandcommunity/program/medical-radiation-technology/","ENL1813S","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"3","Algonquin College","Medical Radiation Technology","https://www.algonquincollege.com/healthandcommunity/program/medical-radiation-technology/","HLT0200","Health Ethics","Students explore the evolution of health-care and the role society has asked of it throughout history. The current structure of the Canadian... + Read More"
"4","Algonquin College","Medical Radiation Technology","https://www.algonquincollege.com/healthandcommunity/program/medical-radiation-technology/","IMG0100","Medical Radiation Sciences I","The relationship between electromagnetism and radiation is a vital component to the field of radiography. Using examples, students explore t... + Read More"
"5","Algonquin College","Medical Radiation Technology","https://www.algonquincollege.com/healthandcommunity/program/medical-radiation-technology/","IMG0101","Introduction to Radiological Imaging Principles","Knowledge of the properties of the x-ray beam is the foundation to its daily application as a medical radiation technologist. Using radiogra... + Read More"
"6","Algonquin College","Medical Radiation Technology","https://www.algonquincollege.com/healthandcommunity/program/medical-radiation-technology/","IMG0102","Radiological Protocols I","Radiological protocols incorporate positioning skills, imaging principles and best practice standards for patient care. Students examine the... + Read More"
"7","Algonquin College","Medical Radiation Technology","https://www.algonquincollege.com/healthandcommunity/program/medical-radiation-technology/","IMG0103","Radiological Protocols Laboratory I","Imaging protocols of the appendicular skeleton and the respiratory system are simulated using evidence-based decision making. Students apply... + Read More"
"8","Algonquin College","Medical Radiation Technology","https://www.algonquincollege.com/healthandcommunity/program/medical-radiation-technology/","IMG0130","Clinical Practicum 1","Observation of the clinical environment and the professional roles and responsibilities of all members of the healthcare team allows the stu... + Read More"
"9","Algonquin College","Medical Radiation Technology","https://www.algonquincollege.com/healthandcommunity/program/medical-radiation-technology/","BIO0003","Applied Anatomy and Physiology II","Understanding of anatomical and physiological variances in diverse patient populations is essential to enable the medical radiation technolo... + Read More"
"10","Algonquin College","Medical Radiation Technology","https://www.algonquincollege.com/healthandcommunity/program/medical-radiation-technology/","IMG0108","Image Processing and Management","The application of software and computers is integrated in the daily function of a medical radiation technologist. Students differentiate be... + Read More"
