"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD8010","Digital Citizenship","Increasingly, students are experiencing online components as part of their course delivery. Blended and online courses require specific skil... + Read More"
"2","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9010","Graphics Technologies","Students are introduced to graphics and illustration programs in the computer environment. Students also learn skills and production techniq... + Read More"
"3","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9013","Cross-Platform Web Design","Technologies on the web evolve quickly. Every year brings new devices and with them new capabilities. These devices present many challenges ... + Read More"
"4","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9014","Cross-Platform Application Development I","While developing native applications for mobile devices holds many advantages, not every application requires direct access to native capabi... + Read More"
"5","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9112","Fundamentals of Computer Hardware and Networking","Students learn how network-enabled devices communicate with each other, what protocols are and why they are important.  Differences in deskt... + Read More"
"6","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","DSN2100M","Design Thinking","Design Thinking uses a designer mindset to produce business innovations in products and services, with a focus on deep understanding of and ... + Read More"
"7","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"8","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9020","User Interface Design","Students learn how to create functional, efficient and enjoyable interfaces. They gain an appreciation for the challenges of building websit... + Read More"
"9","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9021","Introduction to Object Oriented Programming","Students learn the fundamentals of object-oriented programming within the context of mobile application development. Emphasis is placed on t... + Read More"
"10","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9022","Cross-Platform Application Development II","HTML-based web technologies, including a wide variety of Javascript toolkits and APIs, are used to create Hybrid Mobile applications that le... + Read More"
"11","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9124","Mobile API Development","Students enhance their JavaScript skills to become productive with Full-stack development. They use a hands-on approach to build APIs using ... + Read More"
"12","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","ENL8720","Technical Communication for Technicians","Clear, concise and detailed communication is essential for technical workplaces. Students plan and execute a variety of formal and informal ... + Read More"
"13","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9034","User Experience Design","Going beyond the basics of graphics and user interface fundamentals, students learn how to combine these elements to create intuitive, effic... + Read More"
"14","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9132","Android Application Development","Students learn to develop mobile applications for the Android mobile platform. Students use the Android application programming interface (A... + Read More"
"15","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9135","Developing HTML5 Mobile Applications","Students leverage acquired HTML5 and Javascript skills to create both web and hybrid apps. Students learn to develop web apps using modern F... + Read More"
"16","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9137","IOS Development","Students use the Swift language within the standard Mac OSX development environment to create native applications for the iPhone and iPad. W... + Read More"
"17","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9042","Mobile Industry Trends","This course investigates a variety of current topics related to the mobile industry and app development. While the specific course topics ch... + Read More"
"18","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9143","Business for the Mobile Industry","The mobile landscape from a business point of view is discussed. Topics to be covered include business planning, revenue models, analytics, ... + Read More"
"19","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9145","Applied Project","Working in teams, students experience the analysis, design, implementation, testing and deployment of a mobile solution for a real-world cli... + Read More"
"20","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","MAD9146","Windows Development for Mobile","Windows development can be accomplished through a variety of languages. Leveraging prior skills in creating mobile applications with object-... + Read More"
"21","Algonquin College","Mobile Application Design and Development","https://www.algonquincollege.com/mediaanddesign/program/mobile-application-design-and-development/","GED1515","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four theme requirements: Arts in S... + Read More"
