"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","MAT8520","Mathematics and Related Science I","The automotive trade has a long and rich history based on many scientific principles from thermodynamics and the creation of the combustion ... + Read More"
"3","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","MGT8100","Career and College Success Skills","To succeed at college, in the workforce, and in the community, we must adapt to changing environments, manage our time effectively, study ef... + Read More"
"4","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","TRK4100","Chassis Systems and Fluid Power I","Both safety and performance are essential parts of all vehicles. Students explore fluid power systems pertaining to various commercial vehic... + Read More"
"5","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","TRK4101","Powertrain Systems I","The powertrain consists of the main components that generate power and contribute to vehicle mobility. Students examine the components, oper... + Read More"
"6","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","TRK4102","Fuel and Electrical Systems I","Possessing knowledge of electrical, fuels and fuel systems fundamentals is essential to understanding the operation of vehicles. Building on... + Read More"
"7","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","TRK4103","Trade Practices","It is important to have a knowledge and understanding of common and specialty tools and their safe use in the shop environment. Through disc... + Read More"
"8","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","ENL2003","Communications II for Technicians","Communicating effectively in the workplace is a key component of career advancement and essential skills development. The ability to read, u... + Read More"
"9","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","MAT8521","Mathematics and Related Science II","The automotive trade has a long and rich history based on many scientific principles from thermodynamics and the creation of the combustion ... + Read More"
"10","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","TRK4200","Chassis Systems and Fluid Power II","A comprehensive knowledge of hydraulics and pneumatics allows for a more thorough understanding of many types of diesel equipment and vehicl... + Read More"
"11","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","TRK4201","Powertrain Systems II","Technicians working in the field work on a variety of components including gasoline powered equipment. Students define the differences in op... + Read More"
"12","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","TRK4202","Fuel and Electrical Systems II","Today's vehicles depend heavily on both electrical and complex fuel systems to run efficiently and cleanly. Students examine the operation a... + Read More"
"13","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","WEL9107","Introduction to Fuel Gas and Electrical Welding","Welding is a skill essential to a variety of professions. Students develop competent welding skills at a basic level using oxyacetylene equi... + Read More"
"14","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","GED1527","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"15","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","MKT2230","Introduction to Marketing","Students gain basic marketing skills and concepts. While an overview of the entire marketing process is provided, emphasis is on the consume... + Read More"
"16","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","TRK4300","Chassis Systems and Fluid Power III","Service technicians must have a solid understanding of vehicle suspension, steering, and frame components, which require regular maintenance... + Read More"
"17","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","TRK4301","Powertrain Systems III","The powertrain provides vehicles with the ability to move through force. Students develop more in-depth knowledge of diesel engines, sophist... + Read More"
"18","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","TRK4302","Fuel and Electrical Systems III","Today's diesel engines have high electrical demands for electronically controlled fuel injection systems. Students develop an understanding ... + Read More"
"19","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","TRK4303","Vehicle Electronic and Emissions Systems","Today's vehicles use computers to operate vehicle systems and to diagnose the need for repair of vehicles. Students explore how computers ar... + Read More"
"20","Algonquin College","Motive Power Technician - Diesel Equipment and Truck","https://www.algonquincollege.com/sat/program/motive-power-technician-diesel-equipment-truck/","GED1527","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
