"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2000","Digital Audio Concepts","Modern audio production techniques rely heavily on a large variety of digital technologies. Basics covered include digital audio encoding, M... + Read More"
"2","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2001","Music Business I","Crucial concepts such as Intellectual Property and Copyright make up a large  portion of the music business. Students learn concepts around ... + Read More"
"3","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2003","Recording Engineering Production I","Students are introduced to the equipment used in a professional recording studio, with a focus on recording consoles and Digital Audio Works... + Read More"
"4","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2019","Entrepreneurship in the Music Industry","Many professionals in today's music industry operate as their own business. Whether it's an audio production facility, an artist management ... + Read More"
"5","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2020","Music Theory Fundamentals","The importance of having a finely tuned ear is crucial to producing, mixing and creating a quality recording. Students enhance their prepara... + Read More"
"6","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","PSY2000","Psychology in Society","Students are introduced to the investigation of behaviour and mental processes and explore how this information can be used in the music ind... + Read More"
"7","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","GED1405","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"8","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"9","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2005","Music Business II","Students delve deeper into the roles within the music industry and the relationship between artists and consumers. Artist services are disse... + Read More"
"10","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2007","Recording Engineering Production II","Students are introduced to intermediate electronic concepts and audio specific standards and terminology. Microphone design is covered along... + Read More"
"11","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2018","Trends and Popular Culture","Music is a medium of trends and popular culture. Students examine the historical roots of current popular culture and its effect on the medi... + Read More"
"12","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2022","Production Theory","Emphasis is placed on the creative and artistic techniques of music production. Topics include song choice, song analysis, lyrics analysis, ... + Read More"
"13","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2023","Music in the Digital Age","Students examine the music industry in modern day and how technology has been both a positive tool and detrimental device. Students learn ho... + Read More"
"14","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2028","Music Theory and Composition","The significance of composition and arranging is fundamental to producing and creating music. Students will continue their music theory lear... + Read More"
"15","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2031","Digital Music and Technology","In the last twenty years, audio production has moved from the domain of mixing boards and tape machines to computers and portable devices. O... + Read More"
"16","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","ENL2010","Personal Presentation Skills","Students analyze and critique their own personal oral communication skills. By analyzing communications, micro-skills; for example, eye cont... + Read More"
"17","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2008","Entertainment Contracts","Students examine contracts, agreements and negotiation in the music industry, from recording and management contracts, producer agreements t... + Read More"
"18","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2012","Recording Engineering Production III","Student focus on analog recording using 2"" magnetic tape as the medium. Tape recorder concepts and alignment are introduced and synchronizat... + Read More"
"19","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2013","Audio for Video","Recording audio for any type of video application is quite different than simply recording audio on its own. The synchronization of the audi... + Read More"
"20","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2016","Live Production","From the advent of modern music to as recently as the 90s, the lines between techniques used in the studio and on the stage differed greatly... + Read More"
"21","Algonquin College","Music Industry Arts","https://www.algonquincollege.com/mediaanddesign/program/music-industry-arts/","MSC2021","Industry Preparation","Students are prepared to work in a professional music industry environment or start their own business. Communication and business skills ar... + Read More"
