"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","ANP1105","Human Anatomy and Physiology 1","An introduction to tissue and cell morphology, biochemistry of the cell and physiological concepts including diffusion, osmosis and membrane... + Read More"
"2","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","ENG1100P","Workshop in Essay Writing","Intensive practice in academic essay writing. Emphasis is on grammatical and well-reasoned expository writing, essay organization, preparati... + Read More"
"3","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","HSS1101","Determinants of Health","Introduction to Health Sciences including models and concepts of health and wellness, illness and disease. Biological, psychobehavioural, so... + Read More"
"4","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG1001","BScN Elective Level 1","A course from another program of study which is approved by the Nursing department as an appropriate elective for the BScN program. (3 credi... + Read More"
"5","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","PSY1101","Introduction to Psychology: Foundations","Object and method of psychology. Historical perspective. Nervous system, consciousness. Sensory processes, perception, cognition, memory, la... + Read More"
"6","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","ANP1106","Human Anatomy and Physiology II","Anatomy of the skeleton, including the axial and appendicular skeleton. Anatomy and physiology of skeletal muscles of the trunk and limbs. A... + Read More"
"7","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","ANP1107","Human Anatomy and Physiology III","Anatomy and physiology of the endocrine regulation of metabolism, the digestive system, the reproductive system, and the urinary system; aci... + Read More"
"8","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","HSS1100","Microbiology and Immunology","This course provides a foundation of infectious diseases. Basic microbiology, virology and immunology will be introduced within an interdisc... + Read More"
"9","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG2001","BScN Elective Level 2","A course from another program of study which is approved by the Nursing department as an appropriate elective for the BScN program. (3 credi... + Read More"
"10","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","PHI1370","Philosophical Issues in Healthcare","Basic philosophical questions and theories about the nature of human beings and the meaning of life. Special emphasis on how such questions ... + Read More"
"11","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","HSS2381","Quantitative Methods in Health Sciences I","Introduction to measurement and data analysis in health sciences. Use of computer applications to analyze, manage and present scientific dat... + Read More"
"12","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG2113C","Introduction to Nursing Science (C)","Introduction to the discipline of nursing and to the profession in the Canadian healthcare context. Focus on concepts related to nursing sci... + Read More"
"13","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG2317L","Health Assessment (Lab)","Principles and application of holistic health assessment. Emphasis in norms and risk factors for children, adult and seniors. Clinical pract... + Read More"
"14","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG2317T","Health Assessment (Theory)","Principles and application of holistic health assessment. Emphasis in norms and risk factors for children, adult and seniors. Clinical pract... + Read More"
"15","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","PHS4300","Pathophysiology","Etiology of disease states, causes and mechanisms of pathology, preventive measures and corrective therapies. (3 credits) Prerequisites: ANP... + Read More"
"16","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","PSY2114","Lifespan Psychology","Developmental psychology from birth to old age. (3 credits) The courses PSY2114, PSY2105 cannot be combined for credits. Course reserved for... + Read More"
"17","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG2313L","Introduction to Nursing Practice (L)","Health assessment of individuals in simulation environments and selected health care settings. Selection, implementation and evaluation of i... + Read More"
"18","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG2313M","Introduction to Nursing Practice (M)","Health assessment of individuals in simulation environments and selected health care settings. Selection, implementation and evaluation of i... + Read More"
"19","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG2313P","Introduction to Nursing Practice (P)","Health assessment of individuals in simulation environments and selected health care settings. Selection, implementation and evaluation of i... + Read More"
"20","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3301","Research in Nursing","Introduction to nursing research paradigms and nursing research methodologies. Selection of research relevant to nursing practice. Introduct... + Read More"
"21","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG4400","BScN Elective Level 4","A course from another program of study which is approved by the Nursing department as an appropriate elective for the BScN program. (3 credi... + Read More"
"22","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG4401","BScN Elective Level 4","A course from another program of study which is approved by the Nursing department as an appropriate elective for the BScN program. (3 credi... + Read More"
"23","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","PHA3112","Clinical Pharmacology","This course is a comprehensive study of drugs with instruction on their action on the human organism, as well as their toxicities and their ... + Read More"
"24","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3107","Family-Centered Care of Children with Acute and Chronic Illness","Concepts and principles of nursing care of children with acute and chronic illness. Emphasis on family-centered care, assessment and nursing... + Read More"
"25","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3111","Care of the Childbearing Family","Theoretical and research-based nursing care of childbearing families in hospital, home and community settings. Emphasis on maternal-infant c... + Read More"
"26","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3127","Nursing Professionalism and Ethics","Scope and standards of nursing practice. In-depth examination of ethical and legal practice situations and dilemmas. Emphasis on values clar... + Read More"
"27","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3307L","Practicum: Family-Centered Care of Children with Acute and Chronic Illness","Family-centered care of children experiencing acute and chronic illness. Practice in healthcare and simulation settings. Lab portion. (Previ... + Read More"
"28","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3307P","Practicum: Family-Centered Care of Children with Acute and Chronic Illness","Family-centered care of children experiencing acute and chronic illness. Practice in healthcare and simulation settings. Practicum portion. ... + Read More"
"29","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3311L","Practicum: Childbearing Family (L)","Nursing care of childbearing families in different settings, such as hospitals, public health, community-based agencies, home, or simulation... + Read More"
"30","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3311P","Practicum: Childbearing Family","Nursing care of childbearing families in different settings, such as hospitals, public health, community-based agencies, home, or simulation... + Read More"
"31","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3311S","Practicum: Childbearing Family (S)","Nursing care of childbearing families in different settings, such as hospitals, public health, community-based agencies, home, or simulation... + Read More"
"32","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3103C","Theory in Nursing","Theory structure, evaluation, philosophical underpinnings and use in explaining phenomena of interest to the discipline are explored. A vari... + Read More"
"33","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3105","Care of Adults Experiencing Illness","Concepts and principles for nursing care of adults experiencing acute and chronic illnesses with stable or predictable outcomes, across heal... + Read More"
"34","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3137L","Practicum: Mental Health Nursing (Lab)","Care of individuals with mental health issues. Application of therapeutic interaction, relationship skills, family assessment and support in... + Read More"
"35","Algonquin College","N*Bachelor of Science in Nursing","https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/","NSG3137P","Practicum: Mental Health (P)","Care of individuals with mental health issues. Application of therapeutic interaction, relationship skills, family assessment and support in... + Read More"
