"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","ENL1962","English Fundamentals","Students develop language skills necessary to promote success in program courses and, ultimately, business careers. Students achieve correct... + Read More"
"2","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2275","Document Production I","Canadian business documents reflect the image of an organization. Students format business correspondence, business memos, and letters, with... + Read More"
"3","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2373","Administrative Procedures","Although tools and techniques may change, the role of the administrative assistant remains a valuable asset in all types of organizations. S... + Read More"
"4","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2377","Computer and Presentation Applications","Efficient use of computers and office productivity tools is essential for the timely completion of assigned tasks in the workplace. Students... + Read More"
"5","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2378","Interpersonal Relations","In the context of increased use of technology in today's workplace, the human touch remains a cornerstone of business interactions and the s... + Read More"
"6","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","QUA2227","Business Math Foundations","Students review the essentials of business mathematics. Ratio, proportion and percent are covered. Students also study payroll-type applicat... + Read More"
"7","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","ACC2207","Bookkeeping","The ability to accurately record day-to-day transactions is an essential skill for bookkeepers and office administration staff. Students beg... + Read More"
"8","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","ENL1813B","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"9","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2276","Document Production II","Business documents represent proof of an organization's communications and transactions and, as such, must be produced in an efficient and c... + Read More"
"10","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2300","Advanced Word Processing","Efficient use of computers and office productivity tools is essential for the timely completion of assigned tasks in the workplace. Students... + Read More"
"11","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2395","Spreadsheet Applications (OA)","Efficient use of computers and office productivity tools is essential for the timely completion of assigned tasks in the workplace. Students... + Read More"
"12","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","GED0210","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four theme requirements: Arts in S... + Read More"
"13","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","ACC2208","Accounting Practices","Administrative assistants are often asked to contribute to the accounting process in small offices. Students develop an awareness of the und... + Read More"
"14","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2302","Medical Terminology I","Health services assistants require strong medical terminology knowledge to function effectively in a health services office environment. In ... + Read More"
"15","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2310","Health Services Administrative Procedures","Students develop knowledge of Ontario's healthcare system and the roles and responsibilities of a health services office assistant, health r... + Read More"
"16","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2312","Medical Transcription I","Accurate medical transcription and editing of voice files is a skill often used in health services offices and hospitals. Students are intro... + Read More"
"17","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2403","Health Services Integrated Projects I","Students work in a simulated health services office environment creating accurate documents and health records using an EMR system and vario... + Read More"
"18","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","ENL1725","Canadian Identity","Canadian identity is challenging to define, but depictions of our multicultural society are found and explored in our writing. This course e... + Read More"
"19","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","ENL1726","Symbols, Text and Meaning","Symbols and text are used to express, evoke, and manipulate an entire range of human emotions and reactions. In this interactive, discussion... + Read More"
"20","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","ENL1798","Contemporary Canadian Issues","A critical understanding of contemporary Canadian issues is vital to being an active member in our democratic society. Students explore a va... + Read More"
"21","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","ENL1825","Communication Dynamics","Humans are dynamic, communicative, and socially interactive. Participants consider human behaviour and its influence on interpersonal or imp... + Read More"
"22","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","ENL1829","The Art of Oratory","From ghost stories around the campfire to political speeches by world leaders, ethical oratory plays a significant role in human interaction... + Read More"
"23","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","ENV0002","Environmental Citizenship","Environmental Citizenship is based on the principles of national citizenship, yet it goes beyond political borders to emphasize global envir... + Read More"
"24","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2303","Medical Billing","Medical billing can be a health services assistant responsibility, which can also be outsourced. Students practice patient billing for insur... + Read More"
"25","Algonquin College","Office Administration - Health Services","https://www.algonquincollege.com/business/program/office-administration-medical/","OFF2305","Medical Terminology II","Health services assistants require strong terminology knowledge to function effectively. Students are introduced to the elements of medical ... + Read More"
