"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","ENL1962","English Fundamentals","Students develop language skills necessary to promote success in program courses and, ultimately, business careers. Students achieve correct... + Read More"
"2","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2275","Document Production I","Canadian business documents reflect the image of an organization. Students format business correspondence, business memos, and letters, with... + Read More"
"3","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2373","Administrative Procedures","Although tools and techniques may change, the role of the administrative assistant remains a valuable asset in all types of organizations. S... + Read More"
"4","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2377","Computer and Presentation Applications","Efficient use of computers and office productivity tools is essential for the timely completion of assigned tasks in the workplace. Students... + Read More"
"5","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2378","Interpersonal Relations","In the context of increased use of technology in today's workplace, the human touch remains a cornerstone of business interactions and the s... + Read More"
"6","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","QUA2227","Business Math Foundations","Students review the essentials of business mathematics. Ratio, proportion and percent are covered. Students also study payroll-type applicat... + Read More"
"7","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","ACC2207","Bookkeeping","The ability to accurately record day-to-day transactions is an essential skill for bookkeepers and office administration staff. Students beg... + Read More"
"8","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","ENL1813B","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"9","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2276","Document Production II","Business documents represent proof of an organization's communications and transactions and, as such, must be produced in an efficient and c... + Read More"
"10","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2300","Advanced Word Processing","Efficient use of computers and office productivity tools is essential for the timely completion of assigned tasks in the workplace. Students... + Read More"
"11","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2395","Spreadsheet Applications (OA)","Efficient use of computers and office productivity tools is essential for the timely completion of assigned tasks in the workplace. Students... + Read More"
"12","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","GED0210","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four theme requirements: Arts in S... + Read More"
"13","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","ENV0002","Environmental Citizenship","Environmental Citizenship is based on the principles of national citizenship, yet it goes beyond political borders to emphasize global envir... + Read More"
"14","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2264","Legal Integrated Projects I","Students apply theoretical knowledge of powers of attorney, wills, estates, real estate, and corporate law by preparing legal documents base... + Read More"
"15","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2332","Legal Office Procedures","Legal assistants must understand the legal environment, processes and players. Students are introduced to the government, legal and court sy... + Read More"
"16","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2279","Desktop Publishing","Students develop desktop publishing skills using advanced word processing and specialized desktop publishing software for practical assignme... + Read More"
"17","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","ENL1725","Canadian Identity","Canadian identity is challenging to define, but depictions of our multicultural society are found and explored in our writing. This course e... + Read More"
"18","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","ENL1726","Symbols, Text and Meaning","Symbols and text are used to express, evoke, and manipulate an entire range of human emotions and reactions. In this interactive, discussion... + Read More"
"19","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","ENL1798","Contemporary Canadian Issues","A critical understanding of contemporary Canadian issues is vital to being an active member in our democratic society. Students explore a va... + Read More"
"20","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","ENL1825","Communication Dynamics","Humans are dynamic, communicative, and socially interactive. Participants consider human behaviour and its influence on interpersonal or imp... + Read More"
"21","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","ENL1829","The Art of Oratory","From ghost stories around the campfire to political speeches by world leaders, ethical oratory plays a significant role in human interaction... + Read More"
"22","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2291","Database and Project Management","Students develop skills in database management through the creation and management of tables, relationships, queries, forms and reports. Pro... + Read More"
"23","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","ACC2208","Accounting Practices","Administrative assistants are often asked to contribute to the accounting process in small offices. Students develop an awareness of the und... + Read More"
"24","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2265","Legal Integrated Projects II","Students apply theoretical knowledge of family law, civil litigation and motions by preparing legal documents based on simulated client file... + Read More"
"25","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2319","Work Placement Practicum","Students in their graduating level work within a variety of business environments applying their practical skills and theoretical knowledge.... + Read More"
"26","Algonquin College","Office Administration - Legal","https://www.algonquincollege.com/business/program/office-administration-legal/","OFF2324","Work Placement","Students who meet established criteria undertake a work placement in a legal or executive office environment (dependent upon program registr... + Read More"
