"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","DAT7110","Computer Applications","Students learn to apply, appropriately and effectively, standard word processing, spreadsheet and database software to business applications... + Read More"
"2","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","ENL7777","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"3","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","GED7105","Professionalism and Ethics","Professionalism and ethics are the foundation for those preparing for leadership roles in the workplace, community and educational settings.... + Read More"
"4","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7103","Outdoor Expedition","This first of four expeditions in the program is to introduce students to a challenging variety of rafting rivers and commercial operations.... + Read More"
"5","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7104","Fall Camp","Students are provided with an introduction to their diploma program and to the skills training component. Based at the Wilderness Tours site... + Read More"
"6","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7109","Camp Craft","Students develop camping, cooking and travel skills in a backcountry setting. Core learning outcomes include: application of Leave No Trace ... + Read More"
"7","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7110","River Rescue I","Students learn river rescue techniques as they pertain to canoes, kayaks and rafts. Hypothermia and drowning, rescue in moving water, improv... + Read More"
"8","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7111","Whitewater Kayak I","Modern whitewater kayaking: kayak equipment, strokes and concepts, rolling and rescues are introduced. Emphasis is placed on understanding t... + Read More"
"9","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7112","River Rafting I","Students learn the fundamentals of paddle raft guiding. Students become familiar with such techniques as driving, ferrying, drifting and sur... + Read More"
"10","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7114","Flatwater Canoeing","Students learn basic flatwater skills that are necessary to earn instructor certification. They are educated in canoe construction, equipmen... + Read More"
"11","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7115","Cross Country Cycling I","This is an introductory course in mountain biking offering the student instruction in biking equipment, basic bike repair, and riding techni... + Read More"
"12","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7126","Rock Climbing I","Students develop specific skills required to manage themselves in an outdoor climbing environment. Rock climbing, belaying techniques, equip... + Read More"
"13","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7200","Outdoor Adventure Leadership","The basis for leadership and a career in the outdoor adventure industry is presented. Decision making, judgement, and client safety are exam... + Read More"
"14","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","ACC7200","Accounting","Accounting is used to record business transactions, organize information and communicate financial information in order to make sound busine... + Read More"
"15","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","ENL7655","Communication for the Outdoor Adventure Workplace","This course continues from Communications I to help you achieve graduate level communication skills. Topics include workplace and employment... + Read More"
"16","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","MKT7200","Marketing the Tourism Experience","Tourism operators face unique challenges in marketing their products. Students examine navigating these challenges. Students learn fundament... + Read More"
"17","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7202","Winter Expedition","This course is a multi-day winter expedition with direct focus on winter camp craft and winter travel techniques. Students apply and demonst... + Read More"
"18","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7213","Nordic Skiing I","Cross country skiing is introduced. Classic striding and skating technique, equipment knowledge, waxing and basic fitness are covered.... + Read More"
"19","Algonquin College","Outdoor Adventure","https://www.algonquincollege.com/pembroke/program/outdoor-adventure/","OAD7216","Ice Climbing I","Focus is placed on the sport of ice climbing with emphasis placed upon safety in the winter environment, in the vertical environment, ice cl... + Read More"
