"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","DAT5758","Computer Foundations","In today's world, it is essential to communicate effectively using technology in the education and employment fields. Students improve or le... + Read More"
"2","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","ENL0080","Foundations of Communication","Effective English communication skills are foundational to success in post-secondary education and the workforce. Working at their own pace,... + Read More"
"3","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","MAT0028","Math for Everyday Living","Effective mathematic skills are foundational to success in post-secondary education, the workforce, and in establishing and maintaining heal... + Read More"
"4","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","SSC0105","Personal Discovery","Research has shown that First Nations, Metis and Inuit (FNMI) students benefit from regular one-to-one meetings and individualized support d... + Read More"
"5","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","SSC0106","Health and Wellness","Personal empowerment is built on a healthy body, mind and spirit. Through an exploration of Indigenous diets and others, students research d... + Read More"
"6","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","SSC0107","Career Exploration","Research demonstrates that goal-setting is a key factor in academic and personal success. To focus on setting career goals, students discove... + Read More"
"7","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","ENL1813R","Communications I - Academic Focus","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"8","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","ENV0022","Environmental Guardianship","Indigenous communities have unique relationships with the land that recognize that environmental health is a prerequisite to human health. F... + Read More"
"9","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","SCI0007","The Science of Interconnection","Indigenous people have understood the natural world as relationships that bind together forces within the physical world, astronomy, cosmolo... + Read More"
"10","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","SSC0108","Personal Development","Students continue to expand their interpersonal and transcultural skillset. Individualized weekly coaching sessions continue with a focus on... + Read More"
"11","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","SSC0109","Transforming Turtle Island","Before colonization, Turtle Island was home to thousands of First Nations and Inuit communities who governed their lands according to their ... + Read More"
"12","Algonquin College","Pathways to Indigenous Empowerment - Preparation","https://www.algonquincollege.com/generalarts/program/pathways-indigenous-empowerment-preparation/","SSC0110","Career Development","Students expand their personal career profile by exploring emerging issues facing employees in today's technology-driven workplace related t... + Read More"
