"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4001","Introduction to Global Performing Arts","Singer, dancer, musician, slam poet, theatre artist, stand-up comedian, musician, manager, producer, circus performer, radio announcer are j... + Read More"
"2","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4003","Performance Techniques I","Enter stage right, hit your mark, move upstage, find your light and the right note. In this back-to-basics journey of the performer, student... + Read More"
"3","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4004","Voice","All performance begins with the first breath. Students are introduced to the essentials of proper breathing and voice production. Focus is p... + Read More"
"4","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4008","Live and Digital Practicum I","""Lights, Sound, Action!"" This is where the performer learns the artistry of the stage and how to shine in front of an audience. Students lea... + Read More"
"5","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4009","Creativity and Improvisation","The mind is like a parachute; it's better when it's open.  This creative lab is where musicians, actors, stand-up comedians, puppeteers, dan... + Read More"
"6","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4014","Achieving Success","Talent is only the first step toward success in the performing arts industry. Whether you work for a company, are an entrepreneur or pursue ... + Read More"
"7","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"8","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4005","Movement","Movement is where mind, body and spirit connect. Movement workshops and exercises cultivate physical self-awareness and enable the student t... + Read More"
"9","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4006","Ensemble","No performer works in isolation. Students work together in order to create a unique ""one voice"" performance. Individual talents are integrat... + Read More"
"10","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4011","Performance Techniques II","Focus is one of the performing artist's greatest gifts. Students prepare for live and digital performances while developing their focus, att... + Read More"
"11","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4012","Live and Digital Practicum II","Today's performers need to be comfortable performing live and on camera. In addition to strengthening their performance skills, students are... + Read More"
"12","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4015","Introduction to Music Basics","Music is a universal language and is a fundamental part of the performer's tool kit. Regardless of their area of performance, all students b... + Read More"
"13","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PER4016","Voice II","Every voice is unique. Every performer brings a unique talent. Students are supported in their vocal journey while adding to techniques prev... + Read More"
"14","Algonquin College","Performing Arts","https://www.algonquincollege.com/mediaanddesign/program/performing-arts/","PSY4410","Introduction to Psychology","The ability to understand oneself and to work with others is mandatory for success. Students investigate behavioural and mental processes an... + Read More"
