"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","DSN2100M","Design Thinking","Design Thinking uses a designer mindset to produce business innovations in products and services, with a focus on deep understanding of and ... + Read More"
"2","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"3","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8706","Digital I","Photographers require an understanding of the concepts and tools used in digital imaging. Students learn to work in a mobile environment and... + Read More"
"4","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8711","Studio I","Understanding how to use digital SLRs is critical as a photographer. Students learn to use a digital SLR. They select shutter speeds/apertur... + Read More"
"5","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8718","Print I","A basic knowledge of applied printing techniques is required by most photographers. Students learn the practical aspects of printing digital... + Read More"
"6","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8719","History of Photography","Being able to explore the history of photography from a photographer's conception to its present day incarnation is critical to a photograph... + Read More"
"7","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8767","Theory I","Theoretical knowledge is crucial to understanding the practical elements involved in photography. Basic theoretical information used in cont... + Read More"
"8","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","ENL0077","Professional Communication for Photography","Although photography is essentially a visual medium, strong writing and speaking skills are required to explain, defend and promote the phot... + Read More"
"9","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8707","Studio II: Portrait","Portrait photography encompasses a large amount of work in the photography industry. Students learn to select and use appropriate camera for... + Read More"
"10","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8708","Studio II: Commercial","Understanding proper camera and lighting techniques in commercial photography is imperative in order to attain work in the commercial photog... + Read More"
"11","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8726","Digital II","Students require digital tools in a variety of software applications. Principles of digital imaging are expanded with a focus on practical a... + Read More"
"12","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8736","Visual Perception and Design","Video and multimedia applications are introduced. Students learn how to apply their own photographic skills to create video projects that in... + Read More"
"13","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8760","Print II","Exploring various paper surfaces and medium is essential for photographers in order to service business clients. Students learn the practica... + Read More"
"14","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8768","Theory II","Students continue to explore the theoretical principles of light behaviour and control. Students learn about lighting qualities and fundamen... + Read More"
"15","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8700","Entrepreneurship","Many photographers decide to start and operate their own businesses as a career. Students learn estimating and quoting photographic work in ... + Read More"
"16","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8729","Multimedia I","Understanding the role that video and web applications play in the running of a photographic business is an essential tool for photographers... + Read More"
"17","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8731","Studio III","Critical thinking in photography is essential in the development of the photographic composition and practical application. Students critiqu... + Read More"
"18","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8749","Digital III","Learning intermediate professional digital applications and processes is essential for professional photographers. Students gain a more adva... + Read More"
"19","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8765","Print III","Understanding colour management of printers, monitors and papers is a necessary tool for photographers. Students are able to print images on... + Read More"
"20","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","GED0030","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"21","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8741","Studio IV","In order to gain employment and increase client intake in the photographic industry, it is essential to have a portfolio of photographic wor... + Read More"
"22","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8753","Multimedia II","Creating a professional online presence to promote oneself and/or your business is instrumental in today's environment.  Learners will focus... + Read More"
"23","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8758","Print IV","Students produce a professional level portfolio under the supervision of faculty. Advanced, practical colour management techniques are cover... + Read More"
"24","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8759","Digital IV","In keeping with today's digital technology, photographers must have a variety of advanced digital skills. Photographers, in today's market, ... + Read More"
"25","Algonquin College","Photography","https://www.algonquincollege.com/mediaanddesign/program/photography/","PHO8766","Field Placement","Students secure and complete a field placement with an approved workplace. This is an opportunity that allows students to apply their learne... + Read More"
