"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9113","Canadian Criminal Justice System","Students are provided with an overview of the Canadian criminal justice system with a particular emphasis on the history, function, role and... + Read More"
"2","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9120","Psychology","Students learn to apply basic psychological concepts including scientific methods, biological bases of behaviour, perception, states of cons... + Read More"
"3","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9131","Sociology and Canadian Society","Both a theoretical and practical understanding of society is important to many aspects of law enforcement. Students explore the social proce... + Read More"
"4","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9140","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"5","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9153","Political Science and Public Administration","Decisions made at all levels of government impact the professional and personal lives of Canadians. Learners cultivate an understanding of t... + Read More"
"6","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9160","Fitness and Nutrition","Society has come to recognize that personal and collective wellness is essential to enhance the quality of life. Students are introduced to ... + Read More"
"7","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9170","Introduction to Research","Students are provided with an introduction to the different types of social science research, the tools and techniques for finding secondary... + Read More"
"8","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9211","Interpersonal and Group Dynamics","Successfully navigating interpersonal and group dynamics is fundamental to work in law enforcement. Students study and practise group leader... + Read More"
"9","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9344","Career Preparation","Preparation must start early when applying for a career in policing or other law enforcement fields. Through self-reflection exercises, stud... + Read More"
"10","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9403","Ethics and Professionalism","Ethical issues relating to a wide variety of concerns are examined. Students study ethical theories and clarify their values as a means of e... + Read More"
"11","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9203","Criminology","Various theoretical explanations of criminal and deviant behaviour including the sociological, biological and psychological perspectives are... + Read More"
"12","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9230","Communications II","By the very nature of their work, law enforcement officers communicate constantly with co-workers and a diverse public. Students study and p... + Read More"
"13","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9231","Mental Health in Law Enforcement","This course explores a ""best practices"" approach to mental health care through learning activities that encompass practical theory, new deve... + Read More"
"14","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9243","Diversity in Canada","Diversity is a hallmark of Canada's progressive society.  Learners are challenged to consider the historical, societal and political respons... + Read More"
"15","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9251","Fitness and Lifestyle Management","Students continue to follow their personal fitness and nutritional plan, readjusting their goals as necessary. Students are prepared to succ... + Read More"
"16","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9252","Fitness for Law Enforcement","Students adhere to their personal fitness program and personal diet plan, and focus specifically on successful completion of the Physical Re... + Read More"
"17","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9260","Criminal and Civil Law","Students analyze the elements of an offence, classify offences and identify possible defences in criminal cases. Students also analyze the r... + Read More"
"18","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9310","Interviewing and Investigations","Focus is on interviewing and investigation skills. Students develop the interviewing skills necessary to retrieve information from victims, ... + Read More"
"19","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","GED2444","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"20","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9303","Criminal Code and Federal Statutes","Students analyze specific elements of selected Criminal Code offences. Provisions of federal statutes and their relationship to the Criminal... + Read More"
"21","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9320","Traffic Management","Students develop the knowledge, skills, and ability to locate and apply sections of the Provincial Traffic Law and Criminal Code of Canada. ... + Read More"
"22","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9350","Fitness and Self-Defence","Students focus on personal fitness and basic self-defence. Elemental restraint and protection techniques are demonstrated and practised in d... + Read More"
"23","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9352","Youth in Conflict with the Law","Youth in conflict with the law are often given special consideration when compared to adults. From historical, philosophical, and contempora... + Read More"
"24","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9353","Police Powers","Pertinent sections of the Canadian Charter of Rights and Freedoms and their impact on Canadian criminal procedure are examined. Citizen and ... + Read More"
"25","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9420","Provincial Offences","Students examine scenarios and determine the appropriate enforcement action for the most common provincial statutes. Topics studied include ... + Read More"
"26","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9430","Investigation and Evidence","Students examine the requirements of a continuing investigation and crime scene management. They learn the rules of evidence and develop the... + Read More"
"27","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9440","Conflict Management","Students develop the ability to intervene in conflict and crisis situations with competence and confidence. The conflict situation is examin... + Read More"
"28","Algonquin College","Police Foundations","https://www.algonquincollege.com/perth/program/police-foundations/","PFP9453","Community Policing","Students study and apply models of community policing and problem-oriented policing. Crime prevention strategies and elements of community i... + Read More"
