"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","DAT8942","Computer Applications - Electrical","Students are introduced to the College computer network, spreadsheet applications, word processing software and electrical design software, ... + Read More"
"2","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ELE8909","Electrical Principles I","Students are introduced to the fundamentals of direct current circuit analysis. The standards for electrical measurement are studied and pra... + Read More"
"3","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ELE8913","Codes and Regulations","Students locate and interpret the Canadian Electrical Code rules that ensure that electrical systems and equipment do not create hazardous c... + Read More"
"4","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ELE8919","Achieving Success in the 21st Century","Rapid changes in technology have created new employment and business opportunities that challenge each of us to find our place as citizens i... + Read More"
"5","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"6","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","FIT4711","Physical Fitness I","Students learn about healthy lifestyle and fitness guidelines to prepare for job-specific fitness and overall wellness. Students engage in h... + Read More"
"7","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","MAT8001","Math Fundamentals","Students review the manipulation of algebraic expressions a foundation for advanced mathematical concepts. Students solve 2x2 and 3x3 system... + Read More"
"8","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ELE8023","Alternating Current Circuits","The behaviour of alternating current (AC) circuits and the operation of capacitors, inductors and resistors in AC circuits are studied. Stud... + Read More"
"9","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ELE8024","Rigging Theory and Practice","The application of pulleys, levers, gears and hydraulics is examined with applications to hoisting, rigging and guying. The relationship bet... + Read More"
"10","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ELE8026","Line Work 1","Students demonstrate safe practices by identifying, controlling and eliminating all potential health and safety hazards; selecting, wearing,... + Read More"
"11","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ELE8027","Electrical Machinery for Powerline Technicians","Electromagnetism is studied as the basis for understanding the operation of electrical equipment. This extends into transformer operation, s... + Read More"
"12","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","PHY8201","Environmental Impact of Technology","Every day newspaper headlines, movies, and television have warnings of the dire consequences of some environmental issues, such as global wa... + Read More"
"13","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","WKT1100","Powerline Work Term 1 (optional)","This course includes a work placement, a weekly recording of the activities done in a journal and a final summary report of the overall expe... + Read More"
"14","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ELE8031","Powerline Design","Part III of the Canadian Electrical Code, utility standards and other resources are applied to solve design problems associated with transmi... + Read More"
"15","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ELE8032","Line Work 2","Using field experiences under the supervision of a qualified person, students install and maintain overhead power systems by installing and ... + Read More"
"16","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ELE8033","Metering","The installation, testing and maintenance of single and three phase revenue metering is studied and practiced in a lab environment. The emph... + Read More"
"17","Algonquin College","Powerline Technician (Co-op and Non Co-op Version)","https://www.algonquincollege.com/acce/program/powerline-technician/","ELE8034","Underground Systems","Students acquire the skills required to install and maintain underground distribution systems. In the lab, terminating and splicing primary/... + Read More"
