"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","BIO7005","Human Biology","An understanding of human biology forms the basis of further study in health science. Students learn about the cell as the basic unit of str... + Read More"
"2","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","ENL7078","Communication Studies for the Health Sciences","The ability to exchange ideas effectively contributes to success in a variety of endeavours. Students apply principles of clear communicatio... + Read More"
"3","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","MAT7024","Math for the Health Sciences","Through the study of mathematics, students learn how to reason logically, think critically and solve problems - key skills for success in th... + Read More"
"4","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","PSY7032","Psychology","Understanding self and others is essential in promoting healthy interactions and success in personal and professional relationships. Student... + Read More"
"5","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","SCI7004","Introductory Chemistry","All biological processes are rooted in chemistry. Through collaboration and a focus on health-related examples, students learn about matter,... + Read More"
"6","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","SSC7097","Exploring Careers in Health Sciences","Investigating a variety of health science opportunities is an integral step in successful career planning. Through discussions, independent ... + Read More"
"7","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","BIO7007","Anatomy and Physiology","The structure and function of the body is fundamental to health science. Students further their knowledge of the structure of the human body... + Read More"
"8","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","ENL7079","Communication and Research for the Health Sciences","The ability to understand, apply and communicate scientific information is critical in healthcare education and practice. Students learn to ... + Read More"
"9","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","MAT7027","Statistics for the Health Sciences","Statistics and probability theory are utilized in many ways in the health sciences and in everyday life. Students further develop mathematic... + Read More"
"10","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","SCI7006","General, Organic and Biological Chemistry","Understanding the human body, its diseases and the medicines used to treat disease requires knowledge of general, organic and biological che... + Read More"
"11","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","PHY7002","Physics for the Health Sciences","As the fundamental science, physics underpins chemistry and biology. Through extensive use of algebra, students apply critical thinking and ... + Read More"
"12","Algonquin College","Pre-Health Sciences Pathway to Advanced Diplomas and Degrees","https://www.algonquincollege.com/pembroke/program/pre-health-science-pathways-advanced-diplomas-degrees/","SOC7012","Sociology of Health","Understanding current trends and issues in the interaction between society and health is essential for professionals working in the industry... + Read More"
