"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR0003","Fire Theory I","Knowledge of concepts and principles of modern fire service organizations and their operations is essential to the fire service team. Studen... + Read More"
"2","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR0005","Firefighter Skills Development I","The ability to safely use firefighting tools and techniques is crucial to resolving incidents effectively and efficiently. Through practical... + Read More"
"3","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR0011","Firefighter Emergency Medical Response I","Due to the wide range of emergencies to which the fire service responds, firefighters can be expected to provide pre-hospital care. Through ... + Read More"
"4","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR1702","Professional Communication for Firefighters","Students develop the written and oral communication skills required in the field of firefighting. They write fire service incident reports, ... + Read More"
"5","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR1744","Education and Fire Prevention in the Community - Theory","Focus is placed on the fire and life safety initiatives, fire origin and cause determination, as well as the fire protection systems aspects... + Read More"
"6","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIT4711","Physical Fitness I","Students learn about healthy lifestyle and fitness guidelines to prepare for job-specific fitness and overall wellness. Students engage in h... + Read More"
"7","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","PSY1202","Psychology","Stress is an unavoidable element of our day-to-day lives. How we equip ourselves to understand our stress responses and develop techniques t... + Read More"
"8","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR0006","Hazardous Materials Operations - Theory","Firefighters are called to respond to a wide range of emergencies, and it is conceivable that any given emergency might involve a hazardous ... + Read More"
"9","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR0007","Hazardous Materials Operations Skills Development","The ability to practically assess, monitor, and mitigate the effects of hazardous materials (HAZMAT) is crucial to incident mitigation. In d... + Read More"
"10","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR0008","Fire Theory II","Students expand their knowledge base of firefighting tools, techniques and  practices required of successful fire ground operations.Prerequi... + Read More"
"11","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR0009","Firefighter Skills Development II","The ability to use a wide range of firefighting tools and equipment is fundamental to fire-ground operations. Students are provided with the... + Read More"
"12","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIT4713","Physical Fitness II","Students are provided with the opportunity to enhance their individual level of fitness so that they may best meet the physical demands expe... + Read More"
"13","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR0001","Rope Rescue","Understanding rope and its use is an important consideration for accomplishing firefighting and technical rescue operations. Students are in... + Read More"
"14","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR0002","Firefighter Emergency Medical Response II","The challenge and complexities of emergency medical response demand a corresponding level of knowledge and skill for successful patient inte... + Read More"
"15","Algonquin College","Pre-Service Firefighter Education and Training","https://www.algonquincollege.com/ppsi/program/pre-service-firefighter-education-and-training/","FIR0010","Firefighter Skills Development III","The ability for a firefighter to integrate requisite knowledge and skills and apply them under emergency conditions is fundamental to succes... + Read More"
