"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3000","Role of the Writer in North American Culture","Students explore the role writers have played in the North American context over the last fifty years. Writers of books now considered class... + Read More"
"3","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3002","Creative Writing 1","Students learn the fundamentals of storytelling, such as plot, point of view, dialogue, character development, theme and how language usage ... + Read More"
"4","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3003","Introduction to Research","Students learn how to find the information and resources they need for their written products. Students also learn how to find governmental,... + Read More"
"5","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3027","Speculative Societies","Through the study of speculative fiction and contemporary issues in the media, students explore how ideology functions within a society and ... + Read More"
"6","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","ENL2008","Interpersonal Skills for Personal and Career Success","Students explore a number of different factors that affect our relationships with other people. Students have an opportunity to assess, anal... + Read More"
"7","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3005","Creative Writing II","Students learn about the publishing environment for fiction in Canada and how to submit their short stories for publication in small literar... + Read More"
"8","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3007","Professional Writing I","Students learn the skills necessary to be successful in entry-level writing and communications positions. They study and practice a broad ra... + Read More"
"9","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3014","Issues in Canadian Society and Media","Students explore a wide variety of current political and sociological issues that have an important impact on the role and function of the p... + Read More"
"10","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3020","Introduction to Editing","Students develop a basic understanding of proofreading, copy editing and the process by which editors work with writers in a variety of cont... + Read More"
"11","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","GED3001","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following four theme requirements: Arts in S... + Read More"
"12","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3001","Computer Applications","Students are provided with the basics of file management. Students are introduced to the basics of industry-standard design software so that... + Read More"
"13","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3022","Professional Writing II","Students learn to write in different formats for a variety of organizational environments, including government, NGO and private sector. Stu... + Read More"
"14","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3025","Narrative Non-Fiction","Students learn how to apply fictional techniques to narrative non-fiction (essays, memoirs and feature stories).  They read and discuss a wi... + Read More"
"15","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3035","Writing for the Web","Students learn the stylistic requirements of writing that is designed to be read on the web. They learn the importance of clear succinct wri... + Read More"
"16","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3038","Substantive and Literary Editing","Students further develop their skills as editors, with emphasis on structural editing and editing for style. Students learn the process by w... + Read More"
"17","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3047","Creative Writing III","Students broaden their understanding of the approaches that contemporary fiction writers take to short and longer fiction, including world b... + Read More"
"18","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3030","Field Placement/Optional Module","Students complete their studies with either special projects or a field placement. Students completing their training within the College env... + Read More"
"19","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3037","Preparation for Project or Placement","Students prepare for their transition to their post-college writing and working lives by learning essential skills, including researching wo... + Read More"
"20","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3042","Production Projects","Students have the opportunity to see how their words and ideas reach audiences.  Students build on the elementary knowledge of design softwa... + Read More"
"21","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3043","The Business of Writing and Publishing","Many writers perform their working lives on a freelance basis.  In this course, students learn about aspects of freelance writing, including... + Read More"
"22","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3044","Scriptwriting for the Online Environment","Writers must adapt to quickly transforming platforms for communication.  With the increase in organizational use of social media such as You... + Read More"
"23","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3045","Plain Language Tune Up","Adaptation is one of the key skills of writers working in an organizational context.  The principles of plain language are increasingly impo... + Read More"
"24","Algonquin College","Professional Writing","https://www.algonquincollege.com/mediaanddesign/program/professional-writing/","SCR3046","Creative Writing Workshop","Testing one's creative work against the expectations and critical discussion of an audience is an essential skill for creative writers who h... + Read More"
