"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","ACC4100","Project Cost Management and Finance","Project team members and managers must have a solid grasp of management finance and accounting principles in order to make strategic busines... + Read More"
"2","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","COM4100","Project Communication Management","Communication is one of the most important factors that drive value. Significant amount of information is exchanged between project particip... + Read More"
"3","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","MGT4104","Project Management Fundamentals","Managing projects is an essential component in today's business environment and mastering concepts, tools and techniques can help manage pro... + Read More"
"4","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","MGT4105","Project Scope Management","Effective project scope management is a critical function of every project manager. Students examine how projects are the catalysts to most ... + Read More"
"5","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","MGT4108","Project Quality Management","Students apply quality management principles, quality frameworksand standards, as well as explore relationships between quality planning, as... + Read More"
"6","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","MGT4109","Project Time Management and Technology","Developing the project schedule and budget are vital elements of project planning and control.  Using current technology, students learn tec... + Read More"
"7","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","HRM4200","Project Human Resources and Stakeholder Management","By examining human resource processes and stakeholder needs, students become more effective at developing and managing the project team thro... + Read More"
"8","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","MGT4202","Project Risk Management","Risk Management provides the means to systematically manage uncertainty and increase the likelihood of meeting project objectives. Students ... + Read More"
"9","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","MGT4203","Project Procurement Management","Procurement is the process by which project goods and services are acquired. Students analyze the procurement cycle and study its detailed s... + Read More"
"10","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","MGT4205","Leadership and Corporate Social Responsibility (CSR)","Leading successful projects requires strong management and leadership skills. At the heart of a good leader, project managers need to: posse... + Read More"
"11","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","MGT4206","International Project Management","Multinational companies have an increasing number of projects that require project management practitioners to have a strong understanding o... + Read More"
"12","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","FLD4201","Field Placement","Qualified project management students have the opportunity to apply academic knowledge and skill to a workplace setting.  Students who meet ... + Read More"
"13","Algonquin College","Project Management","https://www.algonquincollege.com/business/program/project-management/","MGT4209","Applied Project Management","Applied projects serve as vehicles for incorporating all skills obtained and provide opportunity to handle real life challenges. Through a h... + Read More"
