"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","ENL1813M","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1504","Writing for Public Relations","Students develop an understanding of media relations and the relationship between editors/news directors and public relations practitioners.... + Read More"
"3","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1505","Public Relations I","An introduction to the practice of public relations in Canada, from the skills needed to be a practitioner, to the models of public relation... + Read More"
"4","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1519","Design for Public Relations I","Students are introduced to graphic design and learn the techniques, methods, basic tools, and terminology required to communicate and collab... + Read More"
"5","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1532","Cultural and Media Literacy","Students examine the need for individuals in a society, functioning as citizens and consumers, to be culturally and media literate. From a s... + Read More"
"6","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1546","Principles of Persuasion","Students are introduced to the communications process and various communications principles and theories, from the diffusion process to cogn... + Read More"
"7","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1563","Social Media Management I","Students explore the impact of social media on the role of the public relations practitioner. They identify and review in detail principles ... + Read More"
"8","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1565","Research for Public Relations","Students are provided an overview of the role research plays in the practice of public relations. Students learn the necessity of gathering,... + Read More"
"9","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","ENL1869A","Business Communication for Media","Students examine communication within a business context. Students practice both oral and written communication activities that are common t... + Read More"
"10","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1536","Design for Public Relations II","Students enhance their working knowledge of design principles and software by applying it to the design of various public relations products... + Read More"
"11","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1537","Contemporary Issues","Students develop abilities to assess current issues, evaluate their   importance, and summarize key information related to these issues. Ong... + Read More"
"12","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1548","Public Relations II","Students experience the four-step public relations process: defining public relations problems/opportunities; planning and programming; taki... + Read More"
"13","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1564","Social Media Management II","Students develop an understanding of the practical applications of social media as part of a complete public relations strategy. Areas such ... + Read More"
"14","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1566","Public Relations Workshop I","Students are involved in the writing, production and packaging of public relations materials, from speeches to media kits. In addition to wr... + Read More"
"15","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1567","Visual Production Workshop","Students develop skills required for public relations job assignments revolving around still photography and video storytelling. From a phot... + Read More"
"16","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1542","The Public Relations Business Environment","A general overview of the operation and management of a public relations business, either as a small business or as a public relations consu... + Read More"
"17","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1547","Integrated Marketing Communications","Students will examine various types of advertising methods and media. Students will observe forms of advertising with a focus on digital cha... + Read More"
"18","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1551","Public Relations III","Students acquire the skills, knowledge and professional qualities required to become a public relations practitioner in any field in Canada,... + Read More"
"19","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1559","Government Communications","A general overview of the work of a public relations practitioner in a government role is provided. Students are exposed to the various skil... + Read More"
"20","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1560","Fieldwork Prep","Students produce an inventory of their own skills, knowledge and professional qualities, with an eye to developing the skills they need to b... + Read More"
"21","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1562","Public Relations Workshop II","Students further develop their strategic thinking, client-service and presentation skills by working on communications projects for internal... + Read More"
"22","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL1568","Measurement and Analytics for Public Relations","Students will be introduced to a variety of measurement tools used in public relations, specifically tools related to social media and onlin... + Read More"
"23","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","GED0468","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"24","Algonquin College","Public Relations","https://www.algonquincollege.com/mediaanddesign/program/public-relations/","PRL0003","Field Work","Field work helps students gain on-the-job experience while honing their public relations skills. Students are placed with organizations incl... + Read More"
