"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Recreation and Leisure Services","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services/","ENL1813S","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Recreation and Leisure Services","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services/","RCR1302","Program Development I","Program development is a core aspect of practice for recreation professionals. Students are provided with a hands-on and interactive learnin... + Read More"
"3","Algonquin College","Recreation and Leisure Services","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services/","RCR1303","Introduction to Fieldwork","The ability to understand one's professional roles and responsibilities in the workplace is foundational to success. Students explore field ... + Read More"
"4","Algonquin College","Recreation and Leisure Services","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services/","RCR1315","Leadership and Group Dynamics I","Leadership and leadership styles affect society. Students examine different models of leadership, including the situational leadership model... + Read More"
"5","Algonquin College","Recreation and Leisure Services","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services/","RCR1411","Recreation and Human Development","Students are introduced to the fundamental principles of development across the lifespan focusing on physical, cognitive social and emotiona... + Read More"
"6","Algonquin College","Recreation and Leisure Services","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services/","RCR1448","Fitness in Recreation","Concepts of fitness, health, wellness and lifestyle management are fundamental aspects of fitness in recreation. Students explore these key ... + Read More"
"7","Algonquin College","Recreation and Leisure Services","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services/","RCR1478","Introduction to Recreation","Recreation and leisure time activities provide opportunities for friendships, purpose and meaning. Recreation activities also contribute to ... + Read More"
"8","Algonquin College","Recreation and Leisure Services","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services/","ENL1832C","Report Writing for Recreation","Clear, concise and accurate reporting skills are essential for effective and efficient record keeping and project planning. Students work in... + Read More"
"9","Algonquin College","Recreation and Leisure Services","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services/","RCR1304P","Field Placement I","Field placement experiences support the integration of theory and professional expectations in recreation and leisure programs. Students pra... + Read More"
"10","Algonquin College","Recreation and Leisure Services","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services/","RCR1305S","Field Placement Seminar I","Students explore the professional role of the recreation profession within the community. Students develop basic skills in networking, docum... + Read More"
