"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1306","Field Placement Seminar II:Career Planning","Building on previous field preparation work, students acquire a deeper awareness of how to prepare for a career in recreation. Students deve... + Read More"
"2","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1308","Program Development III - Trends in Recreation","Trends are a significant component in the field of recreation and leisure services. Community needs assessment skills including collection o... + Read More"
"3","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1345","Recreation for Older Adults","The demographics are changing in Canada related to an aging population. Students are introduced to the changing scene in recreation with res... + Read More"
"4","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1391","Program Administration","Program success is dependent on four main components of program administration planning, organizing, administration and evaluation.  Student... + Read More"
"5","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1396","Community Development","Recreation professionals facilitate the growth of healthy communities by mobilizing citizens through the recreation and leisure services pro... + Read More"
"6","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1411","Recreation and Human Development","Students are introduced to the fundamental principles of development across the lifespan focusing on physical, cognitive social and emotiona... + Read More"
"7","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1424","Marketing","Knowledge of marketing concepts and strategies are essential in promoting recreation and leisure services. Through the use of technology, in... + Read More"
"8","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1437","Therapeutic Recreation I","Therapeutic recreation can play a significant role in enhancing the lives of people with special needs. Student gain a basic understanding o... + Read More"
"9","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1449","Field Placement II","Students continue to integrate theory and professional expectations within their chosen field placement. Students further explore their area... + Read More"
"10","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1413","Recreation and the Environment","The effects of recreation on the environment and the effects of the environment on recreational opportunities are inevitable. Students are e... + Read More"
"11","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1418","Ethics and Values in Recreation","Making the right decision is sometimes difficult to do. Ethical dilemmas arise when there is more than one way to resolve an issue. Students... + Read More"
"12","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1419","Therapeutic Recreation II","The Therapeutic Recreation Ontario Standards of Practice are examined in more depth and hands-on application is provided. Students enhance t... + Read More"
"13","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1422","Field Placement Seminar III","Students continue to develop as emerging recreation professionals with the extension of the learning opportunities that integrate theory and... + Read More"
"14","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1447","Risk Management and Legal Issues","Recreation professionals have a significant role to play with participant safety and accessibility practices related to recreation and welln... + Read More"
"15","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1452","Field Placement III","Students continue to focus on advanced skills in areas such as communication, programming and administration while consolidating knowledge a... + Read More"
"16","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1455","Special Events","All events are unique in that they are organized with the benefits of the individual or community group in mind. Events may be in the form o... + Read More"
"17","Algonquin College","Recreation and Leisure Services (Entry Into Level 03)","https://www.algonquincollege.com/healthandcommunity/program/recreation-and-leisure-services-entry-level/","RCR1456","Facilities Management","Students are introduced to facility management practices with a key focus on site visits to recreation facilities and a Long-Term Care facil... + Read More"
