"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.algonquincollege.com/acce/program/refrigeration-and-air-conditioning-systems-mechanic/","ACR1410","Introduction to Electricity and Controls for AC and R","Electricity forms the power source and control method of a typical air conditioning and refrigeration (ACR) system. The apprentice learns th... + Read More"
"2","Algonquin College","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.algonquincollege.com/acce/program/refrigeration-and-air-conditioning-systems-mechanic/","ACR1412","AC and R System Operation and Components","The complexity of installing and servicing ACR systems requires an understanding of the four crucial mechanical components and a multitude o... + Read More"
"3","Algonquin College","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.algonquincollege.com/acce/program/refrigeration-and-air-conditioning-systems-mechanic/","ACR1413","AC and R Piping Installation","Brazing and soldering are the common techniques for constructing and repairing flow components of ACR systems. The apprentice learns the saf... + Read More"
"4","Algonquin College","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.algonquincollege.com/acce/program/refrigeration-and-air-conditioning-systems-mechanic/","ACR1711","AC and R System Installation and Maintenance","Service and installation skills are foundational to a career in ACR. Key points include working safely, fire safety, lock out/tag out, fall ... + Read More"
"5","Algonquin College","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.algonquincollege.com/acce/program/refrigeration-and-air-conditioning-systems-mechanic/","ACR1420","Electricity and Controls for AC and R Systems","Troubleshooting and repair in the field of ACR requires an in-depth knowledge of electrical principles and application. The apprentices lear... + Read More"
"6","Algonquin College","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.algonquincollege.com/acce/program/refrigeration-and-air-conditioning-systems-mechanic/","ACR1421","AC and R Science and Blueprints","A skilled tradesperson working in the ACR field must be able to select and verify the application of equipment.  Conditions and requirements... + Read More"
"7","Algonquin College","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.algonquincollege.com/acce/program/refrigeration-and-air-conditioning-systems-mechanic/","ACR1422","Installation of AC and R Systems and Components","Proper techniques are critical to a high quality ACR installation. Apprentices learn high level skills in the installation of major and mino... + Read More"
"8","Algonquin College","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.algonquincollege.com/acce/program/refrigeration-and-air-conditioning-systems-mechanic/","ACR1430","Electricity and Electronics for AC and R","Electricity and its various applications, through either electrical, electro-mechanical or electronic methods is central to every ACR system... + Read More"
"9","Algonquin College","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.algonquincollege.com/acce/program/refrigeration-and-air-conditioning-systems-mechanic/","ACR1431","Air Cooling and Psychrometrics for AC and R","Understanding the science behind the common term ""air conditioning"" requires an understanding of the principles involved in heat transfer an... + Read More"
"10","Algonquin College","Refrigeration and Air Conditioning Systems Mechanic (Apprenticeship)","https://www.algonquincollege.com/acce/program/refrigeration-and-air-conditioning-systems-mechanic/","ACR1432","Air Distribution and Blueprints for AC and R","The ability to examine a schematic, diagram, drawing, plan or blueprint, and quickly ascertain the location and specifications of equipment,... + Read More"
