"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","ENL1813S","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","PSY1757","Psychosociology","Themes in Psychosocial Science are introduced through lectures, discussions and role playing. Students acquire the communication skills used... + Read More"
"3","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES1104","Practice Foundations and Legalities","Administrative skill sets are applied to the workplace setting. Topics include the basic elements of staffing, budgeting, use and developmen... + Read More"
"4","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES4810","Medical Gas Therapy - Theory","A basic introduction to gases, equipment and associated principles employed in respiratory therapy is provided. The material presented cover... + Read More"
"5","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES4812","Anatomy and Physiology I","The study of the human body and its functions is applied to the practice of respiratory therapy. Topics include the language of anatomy, the... + Read More"
"6","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES4815","Medical Gas Therapy - Laboratory","Practical experience involving the use of medical gases and their delivery systems is emphasized. This includes flowmeters, regulators, cyli... + Read More"
"7","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES4817","Applied Respiratory Sciences","Basic scientific and math principles are applied to the practice of respiratory therapy. Principles of biology, chemistry and physics are ap... + Read More"
"8","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","BIO4316","Pathophysiology I","An understanding of applied medical terminology and the pathological processes which occur in the body are the main themes of this course. T... + Read More"
"9","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES4801","Basic Respiratory Protocols Theory","Concepts of infection prevention and control, patient assessment techniques, oxygen and humidity therapy, suction therapy, thermal regulatio... + Read More"
"10","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES4802","Anatomy and Physiology II","The anatomy and physiology of the following systems are explored: cardiovascular, endocrine, digestive and urinary. The focus is placed on t... + Read More"
"11","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES4803","Principles of Mechanical Ventilation Theory","The operating principles of a variety of ventilators are examined. Topics include control variables, phase variables, ventilation modes, ala... + Read More"
"12","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES4821","Basic Respiratory Protocols - Laboratory","The following basic patient care skills are applied in a simulated setting: patient assessment, oxygen therapy, humidity therapy, charting, ... + Read More"
"13","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES4825","Pharmacology","A practical basis for pharmacology in the practice of respiratory therapy protocols is presented. Emphasis is placed on agents used in cardi... + Read More"
"14","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES4844","Pulmonary Diagnostics - Theory","The principles and techniques utilized in Pulmonary Function Diagnostics are introduced. Topics include the operation of various pulmonary f... + Read More"
"15","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","RES4872","Principles of Mechanical Ventilation Lab","The interactions and operating principles of various aspects of ventilators, such as triggering, cycling, ventilation modes and alarms are e... + Read More"
"16","Algonquin College","Respiratory Therapy","https://www.algonquincollege.com/healthandcommunity/program/respiratory-therapy/","BIO4317","Pathophysiology II","Pathological processes with emphasis on cardiac disease and the interrelationship between pathophysiology and compensation mechanisms are ex... + Read More"
