"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1516","Film and Media in Canada","Students study Canada's film, television, radio and digital media industries. The class analyzes trends, genres, the challenges of different... + Read More"
"2","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1518","Writing for Actors I","Students are introduced to the fundamental elements of writing for actors, focusing on dialogue, plot and conflict. Through exercises, discu... + Read More"
"3","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1519","Writing for Digital Media I","Students are introduced to writing scripts for short videos for a variety of client-based communications and other content for digital media... + Read More"
"4","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1529","Video Production Basics","Via in-class demonstrations, supervised laboratory and individual conference time, students learn the essentials of pre-production, producti... + Read More"
"5","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1530","Screenwriting I","Focus is placed on the fundamental principles of screenwriting, including story structure, creating dimensionalized characters and worlds, s... + Read More"
"6","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1533","Writing for Television","Students are introduced to writing for a marketplace that increasingly demands serialized storytelling for streaming, VOD and standard broad... + Read More"
"7","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1500","Writers' Workshops","Students are introduced to useful skills that will increase their employability in film and media in areas such as writing for games, script... + Read More"
"8","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1517","Business Practices","Focus is placed on the understanding of the scriptwriting industry as a whole, from licensing deals to taxes, from collaboration to copyrigh... + Read More"
"9","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1540","Screenwriting II","Students continue to hone their craft and understanding of the technical and stylistic demands of this medium and to enhance their visual st... + Read More"
"10","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1543","Writing for Television II","Students expand knowledge writing for a variety of television genres. Students have the opportunity to add to their portfolios by developing... + Read More"
"11","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1544","Writing for Actors II","Students see their work evolve from the page to the stage, learning how to edit and rewrite scripts using standard theatre formats. They con... + Read More"
"12","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1547","Writing for Digital Media II","Students put a greater emphasis on effective writing for interactive media for education, government and corporate markets, theatrical multi... + Read More"
"13","Algonquin College","Scriptwriting","https://www.algonquincollege.com/mediaanddesign/program/scriptwriting/","SCR1549","Field Placement","To make an efficient transition from college to freelance writing, students complete a minimum of 40 hours in a media, production, theatre o... + Read More"
