"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","DRA1313","Lay-Out and Drafting 1","Apprentices learn how to select the appropriate lay-out tools and perform required geometry to produce patterns and fittings to required spe... + Read More"
"2","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","DRA1314","Read, Interpret and Produce Drawings","Apprentices accurately interpret drawings and specifications, produce free-hand sketches and detailed drawings using drafting equipment, tem... + Read More"
"3","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","MET1311","Fabricates for Shop and Field","Apprentices select materials used in the trade as well as select the appropriate seams, connectors, edges and notches to diverse application... + Read More"
"4","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","MET1312","Use and Maintain Hand and Power Tools and Shop Equipment","Focus is on having apprentices recognize and describe the operation of specialized shop equipment, as well as input information into compute... + Read More"
"5","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","WEL8508","Weld and Cut 1","Welding is a skill essential to the sheet metal trade. Competent welding skills are developed at a basic level.  Students are offered instru... + Read More"
"6","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","DRA1323","Lay-Out and Drafting 2","In a continuation of Lay-Out and Drafting 1, apprentices develop and cut patterns accurately for fittings employing parallel line, radial li... + Read More"
"7","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","DRA1324","Interpret and Design Systems 1","Apprentices calculate and design complete heating ventilation and cooling systems and duct designs for residential applications including th... + Read More"
"8","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","MET1321","Install Heating, Ventilation and Air Conditioning Systems and Components","Apprentices are trained to recommend installation procedures for a complete ducted and industrial duct system, including components, in acco... + Read More"
"9","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","MET1322","Install Roofing and Architectural Metal","Apprentices are taught the recommended installation and fabrication procedures for various roof accessories. Apprentices also learn to ident... + Read More"
"10","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","WEL8512","Weld and Cut 2","Welding is a skill essential to the sheet metal trade. Competent welding skills are developed at an intermediate level. Apprentices are offe... + Read More"
"11","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","DRA1333","Lay-Out and Drafting 3","Apprentices develop and cut patterns for fittings requiring triangulation, employing the principal method of triangulation and using triangu... + Read More"
"12","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","DRA1334","Interpret and Design Systems 2","Apprentices produce load estimates for commercial and industrial buildings and designs of commercial duct systems using the equal friction m... + Read More"
"13","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","MET1331","Test, Adjust and Balance","Apprentices define the properties of air and their relationship to moisture for human comfort. This includes recommending installation and t... + Read More"
"14","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","MET1332","Fabricate and Install Industrial Enviro. Systems and Specialized Installation","Apprentices design an industrial material handling system using velocity reduction, describe techniques for installation and fabrication of ... + Read More"
"15","Algonquin College","Sheet Metal Worker (Apprenticeship)","https://www.algonquincollege.com/acce/program/sheet-metal-worker/","WEL8516","Weld and Cut 3","Welding is a skill essential to the sheet metal trade. Competent welding skills are developed at an advanced level. Apprentices are offered ... + Read More"
