"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","ENL7777","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7117","Preparation for Field","The ability to understand one's professional roles and responsibilities in the workplace is foundational to success. Students explore their ... + Read More"
"3","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7118","Social Service Worker Interviewing","Interviewing is complex, due in part to the fact that it involves working across differences of class, race, gender, age, disability, sexual... + Read More"
"4","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7219","Addictions","The clients of social service workers frequently experience challenges in the area of addictions. Students gain basic knowledge regarding su... + Read More"
"5","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7254","Social Welfare in Canada","Social policies impact the development and delivery of services to consumer groups. Students study the historical progress of the social wel... + Read More"
"6","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7282","Social Service Worker Ethics","Establishing effective client service in the community for social service workers is essential when facing a bewildering array of ethical an... + Read More"
"7","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","PSY7711","Developmental Psychology I","Success in ascertaining the needs of children and parents and our ability to work with them is inexorably intertwined with our knowledge of ... + Read More"
"8","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","ENL7694","Communication Skills for the Social Service Worker","Social service workers create and maintain a variety of records and documents related to their interactions with colleagues and clients. The... + Read More"
"9","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7121","Group Work","Working in groups is part of many social service work settings. Making use of a simulated exercise, students have the opportunity to practic... + Read More"
"10","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7127","Crisis Intervention","One's ability to function in a professional manner in crisis situations is essential in the field of social service work. Students different... + Read More"
"11","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7272","Community Development","Community development emphasizes the worth of self-help, mutual support, the building up of community integration by developing the capacity... + Read More"
"12","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7326","Placement Seminar I","Making the linkages between theory and practice is an essential part of becoming an effective social service worker. Students develop interv... + Read More"
"13","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7328","Placement I","Practical learning experiences support the integration of theory and professional expectations in social service agencies. Students practice... + Read More"
"14","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7342","Legislation and Advocacy","Social service work is, by nature, political. Most of the work done by social service workers is deeply influenced by the ideological, polit... + Read More"
"15","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","PSY7031","Developmental Psychology II","Consideration and application of developmental stages from adolescence to the time of our death is essential when supporting the needs of pe... + Read More"
"16","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7280","Applied Social Service Work Practice","Social service work practice is the foundation for meeting human needs in our society. Students apply core values, ethics and helping skills... + Read More"
"17","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7283","Working with Families","Understanding family systems is essential to providing optimum support to families. Students are grounded in family systems theory and explo... + Read More"
"18","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7334","Mental Health","Mental health is an increasing concern in Canada today and impacts all areas of social service work. Students explore a variety of mental he... + Read More"
"19","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7336","Placement Seminar II","The integration of theory, field-related issues, and personal development is essential for students to formalize a basic understanding of ho... + Read More"
"20","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7339","Placement II","Students are given the opportunity to deepen and expand their knowledge, skills and practice with a more sustained and committed field place... + Read More"
"21","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7260","Assessment Planning and Practice in Social Service Work","Assessment and intervention are core skills for qualified social service workers and are fundamental learning requirements for practice in t... + Read More"
"22","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7281","Globalization and Social Welfare","Globalization has radically altered the economic, social and environmental landscape in which human needs are met. Students examine global c... + Read More"
"23","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7346","Placement Seminar III","Professional development of social service worker students continues with the extension of the learning opportunities that integrate theory ... + Read More"
"24","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","FAM7349","Placement III","Students hone their skills by fully integrating theory and practice. Students also identify, practise, adapt and incorporate theory at a lev... + Read More"
"25","Algonquin College","Social Service Worker","https://www.algonquincollege.com/pembroke/program/social-service-worker/","GED1432","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
