"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","ENL1813H","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","FOD2106","Wine Food and Restaurant Service","Restaurant service involves the service of food, wine and other beverages, as well as the preparation of tables for service, taking orders, ... + Read More"
"3","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS2288","The Dinner Party","Table manners are as unique to a culture as the foods they eat - how people eat varies widely from country to country. Participants in this ... + Read More"
"4","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS5127","Grape Varieties","Sommeliers need the ability to identify the aromas and flavours of different grape varietals. Students delve beyond the common varietals and... + Read More"
"5","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS5162","Wine Tasting","Evaluating wines, making sound purchasing decisions and providing recommendations are key skills of wine professionals. Students build confi... + Read More"
"6","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS5165","Beers of the World","The history of beer predates the history of wine, yet its importance as a beverage to sommeliers is frequently overlooked. Students learn ab... + Read More"
"7","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS5168","Vinification","Today's wine makers research and use a variety of techniques to create their finished products. Students study the science of viticulture an... + Read More"
"8","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS1101","Wset Level 2 Award in Wines and Spirits","The Level 2 Award in Wine qualification is intended for those who have little or no previous knowledge of the broad range of alcoholic bever... + Read More"
"9","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS1102","Wset Level 2 Award in Spirits","The WSETLevel 2 Award in Spirits is for those who have little or no previous knowledge of the world of spirits. It is intended to provide a ... + Read More"
"10","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS5097","Sommelier - Advanced","Real-world, hands-on experience with wines and clients is essential to becoming a well-rounded sommelier. Students use the skills gained thr... + Read More"
"11","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS5158","Theories of Wine and Food Pairing","Understanding and suggesting appropriate wine and food pairings is a fundamental part of the sommelier's role. Students unravel the mystery ... + Read More"
"12","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS5163","Old World Wines","The standards for grape growing and wine production now practiced around the world were established in a few select geographical locations. ... + Read More"
"13","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS5164","New World Wines","An understanding of how old-world wine regions have influenced new world regions and have, in turn, been influenced by them, is essential to... + Read More"
"14","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS5166","Field Placement for Sommeliers","This work placement is designed to further develop and refine students' skills by providing an opportunity to gain practical, real world exp... + Read More"
"15","Algonquin College","Sommelier","https://www.algonquincollege.com/hospitalityandtourism/program/sommelier/","HOS5169","Whiskies of the World","Whisky is known to aficionados as the 'water of life'. Students sample the major varieties including Scotch whisky (Single Malt and Blended)... + Read More"
