"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","T*Bachelor of Technology (Business Systems Development) (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/","CST3100","Introduction to Computer Programming","The underlying technical core of business systems is an effective and efficient implementation of program code. Through technical introducti... + Read More"
"2","Algonquin College","T*Bachelor of Technology (Business Systems Development) (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/","CST3101","Database Design Fundamentals","Modern business systems rely on fast information storage, processing and retrieval for everyday operations and strategic decision-making. St... + Read More"
"3","Algonquin College","T*Bachelor of Technology (Business Systems Development) (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/","ENL1100","Communications and Academic Writing","Effective communication is an integral component of success in the workplace and in lifelong learning. Students review communication theory ... + Read More"
"4","Algonquin College","T*Bachelor of Technology (Business Systems Development) (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/","MAT8003","Mathematics for Programming","The core foundation of all computer science is mathematics. Students examine elementary discrete mathematics for computer science, knowledge... + Read More"
"5","Algonquin College","T*Bachelor of Technology (Business Systems Development) (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/","MGT4102","Business Fundamentals","In today's growing global economy, organizations are facing many new, diverse and competing challenges that have significant impact on their... + Read More"
"6","Algonquin College","T*Bachelor of Technology (Business Systems Development) (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/","ACC4101","Financial Accounting","Generally accepted accounting principles are widely used as benchmarks throughout business. Students explore the role of financial accountin... + Read More"
"7","Algonquin College","T*Bachelor of Technology (Business Systems Development) (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/","CST3102","Programming","The de facto development paradigm for mobile and enterprise systems is object based. This course explores the fundamentals of object-oriente... + Read More"
"8","Algonquin College","T*Bachelor of Technology (Business Systems Development) (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/","CST3103","Data Communication and Networking","Business decision-makers increasingly demand and rely on immediate access to accurate and secure information. Students examine the concepts,... + Read More"
"9","Algonquin College","T*Bachelor of Technology (Business Systems Development) (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/","HLT0280","Introduction to the Canadian Healthcare System","The Canadian healthcare system is a complex mix of jurisdictions, payment methods, delivery systems, care providers, and views of wellness a... + Read More"
"10","Algonquin College","T*Bachelor of Technology (Business Systems Development) (Honours) (Co-op)","https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/","PHI1000","Logic and Critical Thinking","Logic and critical-thinking skills play an important role in both daily life and ongoing academic studies. As foundational skills, they supp... + Read More"
