"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL5250","Methodology in Teaching English as a Second/Foreign Language","Students identify the characteristics of the adult learner, examine historical and current methods in second language teaching, explore the ... + Read More"
"2","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL5251","Language Learning and Culture","Students develop an intercultural perspective in teaching ESL. Students become reflective teachers by critically exploring how culture is re... + Read More"
"3","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL5252","Pedagogical Grammar","Students develop a basic understanding of the form, function and use of grammar terminology in today's English language classroom. In additi... + Read More"
"4","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL5274","Introduction to Language and Language Acquisition","Students gain a basic understanding of various systems within language, such as phonology, morphology, syntax and semantics, as well as psyc... + Read More"
"5","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL0011","Assessment and Evaluation in Second Language Teaching","Students learn the basic principles, procedures and techniques of assessing and evaluating ESL students' language proficiency. As they pract... + Read More"
"6","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL5255","Teaching Reading and Writing","Students develop a greater understanding of ESL teaching methodologies by the adoption of techniques and strategies for integrating all lang... + Read More"
"7","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL5256","Teaching Listening, Speaking and Pronunciation","Students enhance their understanding of ESL teaching methodologies by adopting techniques and strategies for integrating all language skills... + Read More"
"8","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL5258","Educational Technology in Second Language Teaching","Students develop an initial understanding of how to use technology in the ESL classroom. By critically evaluating their fit with various edu... + Read More"
"9","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL5259","Practicum","Students observe an adult EFL classroom in their country of residence to enhance their understanding of teaching techniques in a field place... + Read More"
"10","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL5260","Curriculum Development in English for Specific Purposes","Students develop a further understanding of ESL teaching methodologies through the exploration of current teaching contexts in English for S... + Read More"
"11","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL5254","Adult Literacy and Beginner ESL","Students use appropriate techniques and develop curricula for Adult Literacy programs and for beginner levels of ESL. Topics include the tea... + Read More"
"12","Algonquin College","Teachers of English as a Foreign Language - International","https://www.algonquincollege.com/languages/program/teachers-of-english-as-a-foreign-language-international/","TSL5261","Teaching English as a Second/Foreign Language to Young Learners","Pre-service ESL/EFL teachers prepare to support second language learning of children and adolescents. Students identify the characteristics ... + Read More"
