"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2000","Technical Writing I","Technical communicators must craft documents that inform, instruct and persuade. Students learn how to communicate technical information by ... + Read More"
"2","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2002","Digital Publishing","Technical communicators must be proficient with publication tools that help produce and edit large and complex documents. Students learn the... + Read More"
"3","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2009","Selected Topics I","Significant changes in the workplace are the result of new and advanced technologies. Students are introduced to emerging trends in the fiel... + Read More"
"4","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2010","Designing VIsual Information","Technical communicators must ensure that written content is supported by visual elements. Students learn the principles of designing effecti... + Read More"
"5","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2014","Information Planning and Management","Content is generated by organizations to support their products, services and processes. Students take a unified content strategy approach a... + Read More"
"6","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2015","Editing I","Technical communicators often act as editors. Students formalize their abilities to edit written work at the copyediting and proofreading le... + Read More"
"7","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2003","Online Documentation","Technical communicators must be proficient at creating online help systems. Students are provided with a strong foundation with a leading he... + Read More"
"8","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2004","Technical Writing II","Technical communicators must get information from subject matter experts and translate their knowledge into useable documentation. Students ... + Read More"
"9","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2011","Usability and UX","User experience (UX) plays a critical role in making our physical and digital lives frictionless and enjoyable. Students integrate principle... + Read More"
"10","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2012","Web-Based Tools and Technologies","Technical communicators must be aware of the latest tools in order to be effective in the workplace. Students learn current tools and techno... + Read More"
"11","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2016","Editing II","Advanced editing skills are required by technical communicators. Students enhance their abilities to edit written work at the copyediting an... + Read More"
"12","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","TWR2201","Selected Topics II","The job of a technical communicator often involves creating training materials.  Students learn how to analyze, design, develop, implement a... + Read More"
"13","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","WKT2000","Project","Students participate in an unpaid work placement after they have completed their course work. This opportunity allows them to apply their sk... + Read More"
"14","Algonquin College","Technical Writer (Co-op and Non Co-op Version)","https://www.algonquincollege.com/sat/program/technical-writer/","WKT2200","Work Term I","Students complete a paid full-time work term with an employer off campus. The placement is monitored by the College and assignments, includi... + Read More"
