"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0326","Foundations of Therapeutic Recreation","Students examine the fundamentals and basic principles of therapeutic recreation. The role of the therapeutic recreation specialist is analy... + Read More"
"2","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0327","Leadership and Adaptive Recreation","Having an in-depth understanding of recreation leadership, combined with accurate adaptation of activities, is critical to meeting the needs... + Read More"
"3","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0328","Therapeutic Recreation and Selected Populations I","Therapeutic recreation professionals provide services to diverse client groups in a broad spectrum of settings.  Students explore a variety ... + Read More"
"4","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0329","Therapeutic Recreation and Aging","Demographics are changing in Canada particularly as they relate to aging communities. Students examine the evolving scene in recreation with... + Read More"
"5","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0336","Therapeutic Recreation Assessment","Assessment is one of the primary steps of the Therapeutic Recreation Process. Students develop the knowledge and skills necessary to design ... + Read More"
"6","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0344","Anatomy and Physiology for Healthcare","Basic comprehension of medical terminology, human anatomy and physiology is essential when working in patient care settings.  Students learn... + Read More"
"7","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0351","Facilitation Techniques","Recreation therapists use a variety of techniques and methodologies to meet the needs of clients' leisure lifestyles.  Students examine a nu... + Read More"
"8","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0352","Issues and Trends in Therapeutic Recreation","Remaining current in this profession encourages professional growth and standard of care.  Students gain insight into a variety of issues an... + Read More"
"9","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0353","Research, Evaluation and Documentation","Documentation is crucial to client outcome evaluation.  Students explore the value of documentation and the role it plays professionally for... + Read More"
"10","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0354","Therapeutic Recreation and Selected Populations II","Illnesses and disabilities have a significant impact on a person's leisure lifestyle.  Students take an in-depth look at a variety of disabi... + Read More"
"11","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0355","Field Placement Preparation and Therapeutic Recreation Entrepreneur Development","Entrepreneurship and the growth mindset may open doors to career pathways. Students learn to recognize problems and proactively seek opportu... + Read More"
"12","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","HLT0356","Leisure Education","Leisure Education is an integral part of the Leisure Ability Model and a key component in assisting individuals and groups to lead a fulfill... + Read More"
"13","Algonquin College","Therapeutic Recreation","https://www.algonquincollege.com/healthandcommunity/program/therapeutic-recreation/","FLD0012","Therapeutic Recreation Field Placement","Throughout the semester, students participate in practical therapeutic recreation work at an approved agency/site while applying classroom t... + Read More"
