"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","ENL1813H","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","GEO1714","Exploring Geography - North America","Travel professionals require an in-depth knowledge of the popular tourist destinations in Canada, United States of America and Mexico. Stude... + Read More"
"3","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TOU2203","Introduction to Hospitality and Tourism","A solid foundation in the history of the tourism industry provides the basis for effective design and promotion of tourism products and serv... + Read More"
"4","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TOU2204","Introduction to Sustainable Tourism","Sustainable tourism recognizes the important balance between the natural, cultural, financial, labour, social and economic realities of resp... + Read More"
"5","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TRV2209","Computer Reservations I","Clients in the travel industry require flight and fare information for both domestic and transborder travel. Students use SMARTPOINT by TRAV... + Read More"
"6","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TRV2281","Inclusive Tours","Inclusive travel packages provide clients with convenient, economical travel options. Students are introduced to the travel distribution sys... + Read More"
"7","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","ENL1823H","Communications II","Employers emphasize the need for communication skills that are effective in challenging workplace situations. Using a practical, vocational ... + Read More"
"8","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","GEO1723","Customized Vacations","Customized vacations are an emerging trend in the travel and tourism industry. Focusing on products unique to the Caribbean, students develo... + Read More"
"9","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TRV2220","Computer Reservations II","Clients in the travel industry require fare information for both domestic and trans-border flights. Students use SMARTPOINT by TRAVELPORT in... + Read More"
"10","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TRV2227","Flights and Fares","Safe and efficient domestic and trans-border travel requires in-depth knowledge of airfare principles. Students interpret and articulate air... + Read More"
"11","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TRV2251","Niche and Group Travel","Specialty or niche travel refers to tourism products and experiences that appeal to a small but often dedicated market. Students are introdu... + Read More"
"12","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TRV2253","Introduction to Tourism Marketing","Marketing is vital to the success of all hospitality and tourism businesses and organizations. Students are introduced to concepts and defin... + Read More"
"13","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","GED0224","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
"14","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","GEO1724","Exploring Geography - Europe and Africa","Travel professionals require an in-depth knowledge of the popular tourist destinations in Europe, Africa and the Middle East. Students acqui... + Read More"
"15","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TRV2215","The World of Cruises","Cruise ship travel is a prevalent and evolving industry. Students apply product knowledge, marketing concepts, sales and customer service st... + Read More"
"16","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TRV2230","Computer Reservations III","Clients in the travel industry require accurate fare information for international flights. Students use SMARTPOINT by TRAVELPORT in a real-... + Read More"
"17","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TRV2232","Sales and Customer Service","Sales and customer service form the foundation of delivering effective tourism and travel knowledge, products and services.  Adhering to org... + Read More"
"18","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","TRV2252","International Airline Systems","The connectivity provided by international airlines facilitates the fast-growing global tourism industry. Students examine the fundamentals ... + Read More"
"19","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","FLD0004","Field Placement","Students gain practical business experience in an industry-related field placement. This field placement is a component of Travel Agency Sim... + Read More"
"20","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","GEO1729","Geography - Asia and Oceania","Cultural understanding and appreciation are developed through the study of the diverse areas of Oceania and Asia. Knowledge and research ski... + Read More"
"21","Algonquin College","Tourism - Travel Services","https://www.algonquincollege.com/hospitalityandtourism/program/tourism-and-travel/","HOS2255","Wine, Food and Culture","An understanding of culture can be discovered by exploring eating and drinking customs. Students experience a virtual global tour, exploring... + Read More"
