"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8307","Engine Systems I","Apprentices are introduced to the operating principles and construction features of diesel engines pertaining to the various commercial vehi... + Read More"
"2","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8308","Trade Practices","Apprentices are introduced to trade practices and procedures in the repair and service of commercial vehicles and equipment and are prepared... + Read More"
"3","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8309","Fluid Power Systems 1","Apprentices are introduced to fluid power systems pertaining to the various commercial vehicles and equipment trades. Topics include fluid p... + Read More"
"4","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8310","Drive Train Systems 1","Apprentices are introduced to the operating principles and construction features of drive train systems pertaining to the various commercial... + Read More"
"5","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8311","Wheel End Assemblies and Brake Systems","Apprentices are introduced to the operating principles and construction features of brake systems pertaining to the various commercial vehic... + Read More"
"6","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8312","Fuel Systems 1","Apprentices are introduced to the operating principles and construction features of fuel systems pertaining to the various commercial vehicl... + Read More"
"7","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8313","Electrical Systems 1","Apprentices are introduced to the operating principles and construction features of electrical systems pertaining to the various commercial ... + Read More"
"8","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","WEL8308","Trade Practices - Welding","Apprentices are introduced to trade practices and procedures in the repair and service of commercial vehicles and equipment. Students are pr... + Read More"
"9","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8831","Engine Systems II","Apprentices examine the theory and applications of diesel cylinder heads and valve trains, diesel cylinder block assemblies, and gasoline an... + Read More"
"10","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8832","Drive Train Systems II","Apprentices examine the theory and applications of heavy-duty drivelines and includes pull-type clutches and flywheel assemblies, multiple c... + Read More"
"11","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8833","Steering, Suspension and Brake Systems I","Apprentices examine the theory and applications of air, hydraulic and air over hydraulic brake systems, tires and wheel assemblies, wheel en... + Read More"
"12","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8834","Fuel Systems II","Apprentices examine the theory and applications of diesel injection systems, electronic unit injection systems, engine governing, and gasoli... + Read More"
"13","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8835","Electrical Systems II","Apprentices examine the theory and applications of electrical and electronic fundamentals, heavy duty batteries, cranking circuits, electric... + Read More"
"14","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8836","Vehicle Electronic Management and Emissions Systems I","Apprentices examine the theory and applications of electronic service tools, vehicle computer fundamentals and electronic input circuit comp... + Read More"
"15","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8837","Trade Practices and Auxiliary Systems","Apprentices examine the theory and application of applied trade practices, information accessing, communication systems, cabs and control sy... + Read More"
"16","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","WEL8810","Trade Practices and Auxiliary Systems - Welding","Apprentices examine the theory and application of arc welding and MIG welding.Prerequisites: WEL8308 ... + Read More"
"17","Algonquin College","Truck and Coach Technician (Apprenticeship)","https://www.algonquincollege.com/sat/program/truck-and-coach-technician/","TRK8840","Trade Practices and Auxiliary Systems II","Apprentices examine the theory and applications of heating, ventilation and air conditioning systems. Topics include an exploration of defin... + Read More"
