"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","ENL7777","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","FOR7101","Basic Tree Climbing","The ability to climb trees is one of the most important skills an arborist can possess. Students learn the skills to safely use specialized ... + Read More"
"3","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","FOR7102","Equipment Operations and Maintenance","The proper use and maintenance of specialized equipment increases productivity and significantly reduces the risks to Arborists in the workp... + Read More"
"4","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","FOR7103","Tree Sciences and Practices","Applying the concepts and principles of the science behind trees is important when managing the health of trees. Students gain an overview o... + Read More"
"5","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","FOR7106","Advanced Tree Climbing","Students further hone their tree climbing abilities, while acquiring more advanced climbing systems and techniques. Always focusing on safet... + Read More"
"6","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","FOR7114","Dendrology","Recognizing tree species and their attributes are an essential skill for diagnosing and planning care. Classrooms and study labs develop str... + Read More"
"7","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","FOR7107","Arboriculture Practices","In an urban setting, Arborists are required to perform inspections and produce reports for a variety of client needs.  Arborists have the au... + Read More"
"8","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","FOR7108","Tree Removal","In an urban setting with overhead wires, proximity to buildings and tight spaces, tree removal is a complicated matter. Students develop act... + Read More"
"9","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","FOR7109","Forest Entomology and Pathology","Now more than ever our urban forest is at risk from a multitude of insects and diseases. As tree care specialists, it is important to be awa... + Read More"
"10","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","FOR7110","Urban Soils","The root system is undeniably the most important part of plants, yet rarely is any thought given to the conditions it endures. Students exam... + Read More"
"11","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","FOR7115","Tree Pruning Techniques","As with many artforms, pruning is founded in strong, science-based technique. It is often left up to the individual to make critical decisio... + Read More"
"12","Algonquin College","Urban Forestry - Arboriculture","https://www.algonquincollege.com/pembroke/program/urban-forestry-arboriculture/","GED1214","General Education Elective","Students choose one course, from a group of general education electives, which meets one of the following five theme requirements: Arts in S... + Read More"
