"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC0001","Victimology: Theoretical Perspectives","The majority of Canadians experience criminal victimization at some point in their lifetime. The meaning of the term ""victim"" is explored th... + Read More"
"2","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC0002","Victims of Crime","It is essential for professionals in the field of victimology to ensure that victims of crime are not further traumatized by the very interv... + Read More"
"3","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC0003","Victimization and the Law","Being a victim of crime thrusts a person into a number of legal systems. Students critically examine legal systems from a victim's perspecti... + Read More"
"4","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC0004","Violence Against Women","Students learn theory and practical skills essential to assist women who are victims of violence. Students examine historical and social per... + Read More"
"5","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC0005","Indigenous Peoples: Understanding and Reducing Victimization","Indigenous Peoples are over-represented both as victims and offenders. Students explore the impact of the residential schools, effects of co... + Read More"
"6","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC0006","Victims and the Media","Crime is frequently reported and sensationalized in the media. Students are sensitized to the impact of the media on victims of crime. Throu... + Read More"
"7","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC0007","Men and Victimization","Men who experience victimization often encounter barriers to seeking help. Students explore masculinities theory, stigma, help-seeking behav... + Read More"
"8","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC2001","Childhood Victimization","Childhood victimization can have long-term negative impacts and shape the way a person views the world and those surrounding them. Students ... + Read More"
"9","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC2002","Diversity and Victim Assistance","Students develop the knowledge and skills required to provide culturally competent services to victims. Students explore the dynamics of dif... + Read More"
"10","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC2003","Professional Development and Self-Care","Working with victims of crime is a demanding profession. Students learn the principles of debriefing, self-care and stress management. Stude... + Read More"
"11","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC2004","Victimology: Assessment and Intervention","Victim assistance workers must be able to plan and implement skills and techniques aimed at the prevention of crime and healing of victims. ... + Read More"
"12","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC2005","Victim Assistance Services","Victim service professionals are required to collaborate with service agencies to plan, deliver and evaluate victim service programs and ini... + Read More"
"13","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC2006","Field Placement","In collaboration with faculty and agency personnel, students work in an agency providing victim-centred services, research, or advocacy. Thi... + Read More"
"14","Algonquin College","Victimology","https://www.algonquincollege.com/ppsi/program/victimology/","VIC2007","Field Placement Seminar","Students are prepared for effective and productive performance in the field through discussion groups and tutorial/consultation regarding th... + Read More"
