"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"2","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","GEN1005","Ecology","Understanding the impact humans have on the environment is an important aspect of a student's education. Students review and discuss current... + Read More"
"3","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","MAT1062","Mathematics for Water and Wastewater","Mathematics is important for environmental technology fields. Students learn technical functions, algebraic manipulations and statistics.  T... + Read More"
"4","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","SAF8710","Health and Safety","Technicians and operators are required to have Workplace Hazardous Materials Information System (WHMIS 2015) and occupational health and saf... + Read More"
"5","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT1001","Hydraulics for Water and Wastewater","Operator certification requires detailed knowledge of the hydraulic systems that are used to move water in treatment plants. Students learn ... + Read More"
"6","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT1100","Water and Wastewater Chemistry","Understanding chemistry is essential for practitioners in the water and wastewater treatment sector. Students learn the basic principles of ... + Read More"
"7","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT1101","Water and Wastewater Chemistry Lab","In the water and wastewater treatment sector, chemical treatments are used to purify water. To prepare students for a career in this sector,... + Read More"
"8","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT1200","The Science of Water and Wastewater Practices","Employment in the water and wastewater field requires an understanding of fundamental principles of mechanics and electromagnetism. Students... + Read More"
"9","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT2001","Preventing Waterborne Illness","Water treatment operators must understand how to prevent illness and the mechanisms by which water can be contaminated by biological agents.... + Read More"
"10","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","ENL2019T","Technical Communication for Engineering Technologies","The ability to communicate effectively in a technically-oriented interdisciplinary workplace is a foundational skill in an innovation-driven... + Read More"
"11","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","GED2012","Achieving Success in the 21st Century","Rapid changes in technology have created new employment and business opportunities that challenge each of us to find our place as citizens i... + Read More"
"12","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT2005","Water Distribution and Wastewater Collection","Careers in this sector require a basic understanding of how water is collected and distributed. Students gain a comprehensive overview of th... + Read More"
"13","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT2102","Water and Wastewater Maintenance","The sheer size of industrial operations often presents unique problems that must be fully understood by those who work in the field. Student... + Read More"
"14","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT2200","Water Resource Management","Assessing potential water resource issues before water becomes scarce is essential for leaders in this sector. Focus is on management and co... + Read More"
"15","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT2202","Computer Applications in Water and Wastewater","Computers are a necessary tool in most careers. Students become acquainted with the software tools and methods used in water treatment, wate... + Read More"
"16","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT2400","Water and Wastewater Microbiology","Knowledge of microscopic life and biological principles is indispensable for careers in this field. Students gain knowledge of the world of ... + Read More"
"17","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT2401","Water and Wastewater Microbiology Lab","Proper laboratory skills are required by nearly every career in this sector. Students acquire the necessary laboratory skills for microbial ... + Read More"
"18","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT2500","Entry-Level Course for Drinking Water Operators","The Entry-Level Course (ELC) is a mandatory course for all drinking water operators developed by the Ministry of the Environment.  It provid... + Read More"
"19","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT3102","Wastewater Treatment","Virtually all careers in this field require the knowledge of how wastewater is treated. Students explore how to treat wastewater using physi... + Read More"
"20","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT2203","Industrial Wastewater Management","The size of industrial operations presents unique challenges for wastewater management. Students enhance their knowledge of wastewater treat... + Read More"
"21","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT3007","Solid Waste Disposal and Treatment","Knowledge of solid waste disposal is indispensable for many careers in this field. Students become familiar with the key concepts of solid w... + Read More"
"22","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT3100","Environmental Law","A basic understanding of environmental law is necessary for most careers in this sector. Students examine the Canadian environmental legal p... + Read More"
"23","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT3101","Water Treatment","Effective water treatment is essential for the health of Canadians. Students explore how to treat water using physical and chemical processe... + Read More"
"24","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT3104","Water and Wastewater Operations","Producing meaningful reports and assessments requires a good understanding of math and science. Students collect qualitative and quantitativ... + Read More"
"25","Algonquin College","Water and Wastewater Technician","https://www.algonquincollege.com/sat/program/water-and-waste-water-technician/","WWT3201","Water Treatment Laboratory","Practical experience in water treatment is vital for careers in this sector. Students practise how to treat water using physical and chemica... + Read More"
