"","Institution","Program","Program_url","Code","Name","Description"
"1","Algonquin College","Welding and Fabrication Techniques (Weekend)","https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques-weekend/","GED2012","Achieving Success in the 21st Century","Rapid changes in technology have created new employment and business opportunities that challenge each of us to find our place as citizens i... + Read More"
"2","Algonquin College","Welding and Fabrication Techniques (Weekend)","https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques-weekend/","MAT8584","Mathematics","Welders regularly measure, and calculate distances, areas and volumes. Students develop the skills to efficiently add, subtract, multiply an... + Read More"
"3","Algonquin College","Welding and Fabrication Techniques (Weekend)","https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques-weekend/","WEL1011","Welding Techniques Lab","Students demonstrate and practise various types of basic welding, including gas tungsten arc welding (GTAW), shielded metal arc welding (SMA... + Read More"
"4","Algonquin College","Welding and Fabrication Techniques (Weekend)","https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques-weekend/","WEL1013","Welding Techniques","Basic welding and fabrication concepts are explored. Students learn about the assembly of various components, including the storage, safe ha... + Read More"
"5","Algonquin College","Welding and Fabrication Techniques (Weekend)","https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques-weekend/","DRA1022","Mechanical Engineered Drawings","Interpretation skills for blueprints and layouts related to the welding and fabrication field are established. Students learn how to read an... + Read More"
"6","Algonquin College","Welding and Fabrication Techniques (Weekend)","https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques-weekend/","WEL1021","Welding Fabrication Lab I","Students use a variety of hand and power tools to produce welding projects. They practise gas tungsten arc welding (GTAW) on steel and stain... + Read More"
"7","Algonquin College","Welding and Fabrication Techniques (Weekend)","https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques-weekend/","WEL1022","Welding Fabrication Theory I","Welding processes, including gas tungsten arc welding (GTAW) and shielded metal arc welding (SMAW), are introduced. Students are also instru... + Read More"
"8","Algonquin College","Welding and Fabrication Techniques (Weekend)","https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques-weekend/","WEL1023","Metallurgy and Distortion","Understanding metallurgy is critical to the success of a welder. Students examine characteristics, attributes, and composition of metals thr... + Read More"
"9","Algonquin College","Welding and Fabrication Techniques (Weekend)","https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques-weekend/","ENL1813T","Communications I","Communication remains an essential skill sought by employers, regardless of discipline or field of study. Using a practical, vocation-orient... + Read More"
"10","Algonquin College","Welding and Fabrication Techniques (Weekend)","https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques-weekend/","WEL1033","Welding Fabrication Lab II","Students apply advanced skills and knowledge to various welding and fabrication projects. They perform gas tungsten arc welding (GTAW) with ... + Read More"
"11","Algonquin College","Welding and Fabrication Techniques (Weekend)","https://www.algonquincollege.com/acce/program/welding-and-fabrication-techniques-weekend/","WEL1034","Welding Fabrication Theory II","Welding authorities, such as the Canadian Standards Association (CSA), the Canadian Welding Bureau (CWB) and the American Welding Society (A... + Read More"
