"","Institution","Program","Program_url","Code","Name","Description"
"1","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-108","Shop 1",NA
"2","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-164","Site Preparation and Building Layout",NA
"3","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-161","Safety 1",NA
"4","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-163","Hand and Power Tools",NA
"5","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-162","Building Materials",NA
"6","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-165","Foundation",NA
"7","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-107","Estimating and Plans 1",NA
"8","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-106","Floor Frame",NA
"9","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-203","Residential Roofs",NA
"10","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-207","Estimating and Plans 2",NA
"11","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-208","Shop 2",NA
"12","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-202","Frame Structures",NA
"13","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-205","Wood Stairs",NA
"14","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-204","Interior and Exterior Finishes",NA
"15","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-304","Commercial Formwork",NA
"16","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-307","Estimating and Plans 3",NA
"17","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-302","Concrete",NA
"18","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-305","Commercial Interiors and Timber Construction",NA
"19","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-303","Building Layout",NA
"20","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-308","Shop 3",NA
"21","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-301","Safety 2",NA
"22","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-407","Estimating and Plans 4",NA
"23","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-404","Roof Frame and Stairs",NA
"24","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-408","Shop 4",NA
"25","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-405","Building Design and Renovations",NA
"26","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-406","Energy Efficiency and Building Science",NA
"27","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-401","Workplace Organization and Safety",NA
"28","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-402","Interior Finishes",NA
"29","Aurora College","Apprenticeship Carpenter","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=112&tp=PRG","721-403","Exterior Finishes",NA
