"","Institution","Program","Program_url","Code","Name","Description"
"1","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-151","Safety I",NA
"2","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-152","Tools and Equipment I",NA
"3","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-153","Trade Foundations I",NA
"4","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-154","Heating I",NA
"5","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-155","Electrical",NA
"6","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-159","Shop",NA
"7","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-251","Safety II",NA
"8","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-252","Tools and Equipment II",NA
"9","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-253","Trade Foundations II",NA
"10","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-254","Heating II",NA
"11","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-255","Plumbing",NA
"12","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-259","Shop",NA
"13","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-351","Tools and Equipment III and Safety",NA
"14","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-352","Carpentry - Planning",NA
"15","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-353","Carpentry - Materials",NA
"16","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-354","Carpentry - Concrete",NA
"17","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-355","Carpentry - Foundations",NA
"18","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-356","Carpentry - Framing",NA
"19","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-357","Carpentry - Roofing",NA
"20","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-358","Carpentry - Building Envelope",NA
"21","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-359","Carpentry - Exterior Finishing",NA
"22","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-360","Carpentry - Windows and Doors",NA
"23","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-361","Carpentry - Interior Finishing",NA
"24","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-362","Painting",NA
"25","Aurora College","Apprenticeship Housing Maintainer","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=115&tp=PRG","745-369","Shop",NA
