"","Institution","Program","Program_url","Code","Name","Description"
"1","Aurora College","Bachelor of Education Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=41&tp=PRG","195-270","Literature of Native North America",NA
"2","Aurora College","Bachelor of Education Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=41&tp=PRG","195-359","Western Canadian Literature",NA
"3","Aurora College","Bachelor of Education Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=41&tp=PRG","195-370","Images of Indigenous North America",NA
"4","Aurora College","Bachelor of Education Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=41&tp=PRG","195-425","Legal and Institutional Contexts of Education",NA
"5","Aurora College","Bachelor of Education Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=41&tp=PRG","440-333","Culture Camp III",NA
"6","Aurora College","Bachelor of Education Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=41&tp=PRG","800-100","Introduction to the Circumpolar World",NA
"7","Aurora College","Bachelor of Education Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=41&tp=PRG","800-321","Peoples and Cultures of the Circumpolar World, I",NA
"8","Aurora College","Bachelor of Education Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=41&tp=PRG","440-104","Intro to Teaching in the NWT",NA
"9","Aurora College","Bachelor of Education Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=41&tp=PRG","440-106","Arts Education K-9",NA
"10","Aurora College","Bachelor of Education Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=41&tp=PRG","440-107","A Survey of Information Technology Applications in Educational Environments",NA
