"","Institution","Program","Program_url","Code","Name","Description"
"1","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-100","Practicum",NA
"2","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-133","Personal Finance",NA
"3","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-200","Independent Studies",NA
"4","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-242","Automated Accounting",NA
"5","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-291","Public Policy Making",NA
"6","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-292","Public Finance",NA
"7","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-293","Local, Regional, and Public Issues",NA
"8","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-714","Introduction to Community Based Economic Development",NA
"9","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-101","Co-op Work Placement I",NA
"10","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-102","Co-op Work Placement II",NA
"11","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","096-001","Introduction to Community Development",NA
"12","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","096-002","Development and Northern Communities",NA
"13","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","096-003","Community Development Planning Process",NA
"14","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-294","Land Claims and Self Government",NA
"15","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-271","Organizational Behaviour",NA
"16","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-251","Contract Law",NA
"17","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-236","Introduction to Managerial Accounting B",NA
"18","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-281","Macroeconomics",NA
"19","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-161","Basic Marketing",NA
"20","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-151","Principles of Management",NA
"21","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-235","Introduction to Managerial Accounting A",NA
"22","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-129","Mathematics of Finance",NA
"23","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-128","Mathematics of Business",NA
"24","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-142","Spreadsheets",NA
"25","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-181","Microeconomics",NA
"26","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-135","Introduction to Financial Accounting A",NA
"27","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-221","Statistics",NA
"28","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-272","Human Resources Management",NA
"29","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-147","Introduction to Computer Applications",NA
"30","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-111","Business Communications",NA
"31","Aurora College","Business Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=47&tp=PRG","131-252","Small Business Management",NA
