"","Institution","Program","Program_url","Code","Name","Description"
"1","Aurora College","Community Health Representative","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG","163-110","Human and Community Needs in Health",NA
"2","Aurora College","Community Health Representative","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG","163-320","Community Wellness",NA
"3","Aurora College","Community Health Representative","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG","163-131","Communications and Professional Ethics",NA
"4","Aurora College","Community Health Representative","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG","163-120","Working with Groups",NA
"5","Aurora College","Community Health Representative","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG","163-235","Applied Health Promotion",NA
"6","Aurora College","Community Health Representative","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG","163-241","Human Development: Infant and Child Wellness",NA
"7","Aurora College","Community Health Representative","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG","163-242","Human Development: Adult and Elder Wellness",NA
"8","Aurora College","Community Health Representative","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG","163-315","Healthy Lifestyles: Nutrition, Active Living and Injury Prevention",NA
"9","Aurora College","Community Health Representative","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG","163-341","Environmental Health Promotion",NA
"10","Aurora College","Community Health Representative","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG","163-435","Mental Health and Addictions",NA
"11","Aurora College","Community Health Representative","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=55&tp=PRG","163-401","Consolidated Field Practicum",NA
