"","Institution","Program","Program_url","Code","Name","Description"
"1","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","080-321","Basic Introduction to Computers",NA
"2","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-004","Business Math",NA
"3","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-005","Project",NA
"4","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-104","Office Procedures",NA
"5","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-108","Practicum",NA
"6","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-115","Presentations and Desktop Publishing",NA
"7","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-121","Business English",NA
"8","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-140","Records Management",NA
"9","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-152","Keyboarding II",NA
"10","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-991","Office Administration Industry Work Placement I",NA
"11","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-992","Office Administration Industry Work Placement II",NA
"12","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-993","Office Administration Industry Work Placement III",NA
"13","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","002-245","Orientation for the Industrial Workplace",NA
"14","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-122","Business Communications",NA
"15","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-240","Records and Information Administration",NA
"16","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-241","Advanced Computer Applications",NA
"17","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-242","Human Resource and Payroll Administration",NA
"18","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-243","Financial Accounting and Reporting Procedures",NA
"19","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","080-112","ABE Mathematics 120",NA
"20","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","080-113","ABE Mathematics 130",NA
"21","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","080-114","ABE Mathematics 140",NA
"22","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","080-142","ABE Career/Lifework 120/130",NA
"23","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","080-103","ABE English 130",NA
"24","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","080-104","ABE English 140",NA
"25","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-002","Simply Accounting (Yellowknife/North Slave Campus)",NA
"26","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-107","Bookkeeping II",NA
"27","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-112","Word Processing",NA
"28","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","077-151","Keyboarding I",NA
"29","Aurora College","Office Administration","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=91&tp=PRG","131-142","Spreadsheets",NA
