"","Institution","Program","Program_url","Code","Name","Description"
"1","Aurora College","Office Administration - Office Administration Certificate Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=110&tp=PRG","077-152","Keyboarding II",NA
"2","Aurora College","Office Administration - Office Administration Certificate Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=110&tp=PRG","077-004","Business Math",NA
"3","Aurora College","Office Administration - Office Administration Certificate Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=110&tp=PRG","077-104","Office Procedures",NA
"4","Aurora College","Office Administration - Office Administration Certificate Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=110&tp=PRG","077-115","Presentations and Desktop Publishing",NA
"5","Aurora College","Office Administration - Office Administration Certificate Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=110&tp=PRG","077-121","Business English",NA
"6","Aurora College","Office Administration - Office Administration Certificate Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=110&tp=PRG","077-002","Simply Accounting (Yellowknife/North Slave Campus)",NA
"7","Aurora College","Office Administration - Office Administration Certificate Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=110&tp=PRG","077-107","Bookkeeping II",NA
"8","Aurora College","Office Administration - Office Administration Certificate Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=110&tp=PRG","077-112","Word Processing",NA
"9","Aurora College","Office Administration - Office Administration Certificate Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=110&tp=PRG","077-151","Keyboarding I",NA
"10","Aurora College","Office Administration - Office Administration Certificate Program","www.auroracollege.nt.ca/_live/pages/wpPages/ProgramInfoDisplay.aspx?id=110&tp=PRG","131-142","Spreadsheets",NA
